사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
찰짐,2019-05-14,,,,,영업/정상,대구광역시 달서구 이곡동 1244-5번지,"대구광역시 달서구 이곡공원로 14, 한유빌딩  4층 (이곡동)","대구광역시 달서구 이곡공원로 14, 한유빌딩  4층 (이곡동)",0,,,2019
피트니스 위,2019-05-14,,,,,영업/정상,대구광역시 달서구 이곡동 1246-3번지,"대구광역시 달서구 달구벌대로259길 33, 2층 (이곡동)","대구광역시 달서구 달구벌대로259길 33, 2층 (이곡동)",0,,,2019
유달리짐,2019-05-14,,,,,영업/정상,대구광역시 달성군 논공읍 북리 803-75번지,"대구광역시 달성군 논공읍 논공로5길 113, 2층","대구광역시 달성군 논공읍 논공로5길 113, 2층",0,,,2019
피티명가 퍼스널트레이닝 센터,2019-05-13,,,,,영업/정상,대구광역시 수성구 범어동 479-10번지,"대구광역시 수성구 상록로 37-1, 4층 (범어동)","대구광역시 수성구 상록로 37-1, 4층 (범어동)",0,,,2019
아보스휘트니스,2019-04-22,,,,,영업/정상,대구광역시 달서구 상인동 1439-2 아보스타워,"대구광역시 달서구 월배로 168, 아보스타워 10층 (상인동)","대구광역시 달서구 월배로 168, 아보스타워 10층 (상인동)",0,,,2019
GYM Kitchen(짐키친),2019-06-05,,,,,영업/정상,대구광역시 수성구 범어동 792-43번지 범어역 아이위시,"대구광역시 수성구 동대구로59길 14-19, 범어역 아이위시 201호 (범어동, 범어역 아이위시)","대구광역시 수성구 동대구로59길 14-19, 범어역 아이위시 201호 (범어동, 범어역 아이위시)",0,,,2019
레드워크아웃,2019-09-23,,,,,영업/정상,대구광역시 북구 복현동 73,"대구광역시 북구 복현로 127, 4층, 5층 (복현동)","대구광역시 북구 복현로 127, 4층, 5층 (복현동)",0,,,2019
인스타 퍼스널트레이닝,2019-07-17,,,,,영업/정상,대구광역시 북구 침산동 217-3 5층,"대구광역시 북구 침산남로 165, 5층 (침산동)","대구광역시 북구 침산남로 165, 5층 (침산동)",0,,,2019
아이케이스포테인먼트,2019-09-02,,,,,영업/정상,대구광역시 동구 봉무동 1553-1번지,"대구광역시 동구 팔공로50길 10, 4층 (봉무동)","대구광역시 동구 팔공로50길 10, 4층 (봉무동)",0,,,2019
에이드핏,2019-08-16,,,,,영업/정상,대구광역시 남구 대명동 2130-44번지,"대구광역시 남구 현충로 265, 3층 (대명동)","대구광역시 남구 현충로 265, 3층 (대명동)",0,,,2019
바로핏,2019-09-16,,,,,영업/정상,대구광역시 수성구 만촌동 1037-18번지,"대구광역시 수성구 달구벌대로 2587, 3층 (만촌동)","대구광역시 수성구 달구벌대로 2587, 3층 (만촌동)",0,,,2019
MC GYM,2022-04-11,,,,,영업/정상,대구광역시 수성구 만촌동 861-8 만촌화성파크드림2차,"대구광역시 수성구 달구벌대로 2690, 2층 (만촌동, 만촌화성파크드림2차)","대구광역시 수성구 달구벌대로 2690, 2층 (만촌동, 만촌화성파크드림2차)",0,,,2022
더 피지오랩,2022-04-11,,,,,영업/정상,대구광역시 북구 칠성동2가 90 화인탑펠리스,"대구광역시 북구 옥산로 95, 화인탑펠리스 205호 (칠성동2가)","대구광역시 북구 옥산로 95, 화인탑펠리스 205호 (칠성동2가)",0,,,2022
케이 메디핏,2022-04-11,,,,,영업/정상,대구광역시 북구 태전동 1233,"대구광역시 북구 칠곡중앙대로 357, 2층 (태전동)","대구광역시 북구 칠곡중앙대로 357, 2층 (태전동)",0,,,2022
대봉PT,2022-04-14,,,,,영업/정상,대구광역시 중구 대봉동 44-59 대봉화성그린빌아파트,"대구광역시 중구 대봉로 226, 상가 4층 (대봉동, 대봉화성그린빌아파트)","대구광역시 중구 대봉로 226, 상가 4층 (대봉동, 대봉화성그린빌아파트)",0,,,2022
바디채널 이곡점,2022-04-08,,,,,영업/정상,대구광역시 달서구 이곡동 1198-3,"대구광역시 달서구 계대동문로 126, 4층 (이곡동)","대구광역시 달서구 계대동문로 126, 4층 (이곡동)",0,,,2022
에클로 칠곡7호점,2022-04-15,,,,,영업/정상,대구광역시 북구 읍내동 1343-7,"대구광역시 북구 구암로15길 9, 2층 (읍내동)","대구광역시 북구 구암로15길 9, 2층 (읍내동)",0,,,2022
피트니즈(FITNEE:DS),2022-04-15,,,,,영업/정상,대구광역시 동구 봉무동 1539-3,"대구광역시 동구 팔공로51길 3, 2층 207호 (봉무동)","대구광역시 동구 팔공로51길 3, 2층 207호 (봉무동)",0,,,2022
CLEVER FIT,2022-04-15,,,,,영업/정상,대구광역시 수성구 만촌동 1341 만촌동 메트로프라자,"대구광역시 수성구 화랑로2길 105, 만촌동 메트로프라자 3층 301호 (만촌동)","대구광역시 수성구 화랑로2길 105, 만촌동 메트로프라자 3층 301호 (만촌동)",0,,,2022
크로스핏 마즈,2019-08-20,,,,,영업/정상,대구광역시 북구 침산동 285-4,"대구광역시 북구 침산로 144, 지하1층 (침산동)","대구광역시 북구 침산로 144, 지하1층 (침산동)",0,,,2019
더모스트핏,2019-07-12,,,,,영업/정상,대구광역시 북구 침산동 341-4,"대구광역시 북구 침산로 173, 7층 (침산동)","대구광역시 북구 침산로 173, 7층 (침산동)",0,,,2019
옐로우짐(두류점),2019-12-10,,,,,영업/정상,대구광역시 달서구 두류동 486-2번지 삼정그린빌,"대구광역시 달서구 야외음악당로39길 54, 113동 지하1층 (두류동, 삼정그린빌)","대구광역시 달서구 야외음악당로39길 54, 113동 지하1층 (두류동, 삼정그린빌)",0,,,2019
H GYM,2019-10-14,,,,,영업/정상,대구광역시 동구 율하동 1440번지,"대구광역시 동구 안심로22길 40, 우석타워 301호 (율하동)","대구광역시 동구 안심로22길 40, 우석타워 301호 (율하동)",0,,,2019
옐로우짐 9호점,2019-12-02,,,,,영업/정상,대구광역시 달서구 이곡동 1248,"대구광역시 달서구 이곡공원로 24, 4층 (이곡동)","대구광역시 달서구 이곡공원로 24, 4층 (이곡동)",0,,,2019
