사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
스포츠 박스,2008-04-07,,,,20081106.0,폐업,전라북도 전주시 덕진구 금암동 1557-16번지,전라북도 전주시 덕진구 조경단로 49  (금암동),전라북도 전주시 덕진구 조경단로 49  (금암동),1,2008-11-06,2008,2008
파크 휘트니스 센터,2008-04-17,,,,20160707.0,폐업,전라북도 전주시 덕진구 인후동1가 880-1번지,전라북도 전주시 덕진구 가재미3길 5 (인후동1가),전라북도 전주시 덕진구 가재미3길 5 (인후동1가),1,2016-07-07,2016,2008
휘트니스포유,2002-01-10,,,,20111118.0,폐업,전라북도 전주시 완산구 삼천동1가 289-18번지,전라북도 전주시 완산구 삼천천변1길 35  (삼천동1가),전라북도 전주시 완산구 삼천천변1길 35  (삼천동1가),1,2011-11-18,2011,2002
휘닉스헬스,2002-04-15,,,,20060704.0,폐업,전라북도 전주시 완산구 효자동3가 1452-2번지,전라북도 전주시 완산구 세내로 558  (효자동3가),전라북도 전주시 완산구 세내로 558  (효자동3가),1,2006-07-04,2006,2002
도어즈엔터프라이즈(유),2008-07-04,,,,20220915.0,폐업,전라북도 전주시 덕진구 송천동1가 292-7,전라북도 전주시 덕진구 송천로 1 (송천동1가),전라북도 전주시 덕진구 송천로 1 (송천동1가),1,2022-09-15,2022,2008
CAMO,2016-12-22,,,,20180601.0,폐업,전라북도 전주시 완산구 효자동3가 1539-3번지,"전라북도 전주시 완산구 홍산남로 75, 5층 (효자동3가, 승우빌딩)","전라북도 전주시 완산구 홍산남로 75, 5층 (효자동3가, 승우빌딩)",1,2018-06-01,2018,2016
88체력단련장,1997-02-28,,,,20050118.0,폐업,전라북도 전주시 덕진구 덕진동1가 1262-14번지,,전라북도 전주시 덕진구 덕진동1가 1262-14번지,1,2005-01-18,2005,1997
마이헬스타운,1997-01-21,,,,19980928.0,폐업,전라북도 전주시 덕진구 진북동 438-84번지,,전라북도 전주시 덕진구 진북동 438-84번지,1,1998-09-28,1998,1997
나인 휘트니스,2011-10-21,,,,20210805.0,폐업,전라북도 전주시 완산구 효자동2가 1318-3 은하빌딩( 5층),"전라북도 전주시 완산구 호암로 81 (효자동2가,은하빌딩( 5층))","전라북도 전주시 완산구 호암로 81 (효자동2가,은하빌딩( 5층))",1,2021-08-05,2021,2011
통일스포츠센터,1997-08-14,,,,20040303.0,폐업,전라북도 전주시 덕진구 덕진동1가 1279-3번지,전라북도 전주시 덕진구 덕진연못1길 10-4  (덕진동1가),전라북도 전주시 덕진구 덕진연못1길 10-4  (덕진동1가),1,2004-03-03,2004,1997
광암헬스클럽,1997-10-14,,,,20081002.0,폐업,전라북도 전주시 덕진구 호성동1가 800번지,,전라북도 전주시 덕진구 호성동1가 800번지,1,2008-10-02,2008,1997
한국헬스,1997-01-21,,,,20180403.0,폐업,전라북도 전주시 덕진구 금암동 456-41번지 2층,전라북도 전주시 덕진구 태진로 137-5 (금암동),전라북도 전주시 덕진구 태진로 137-5 (금암동),1,2018-04-03,2018,1997
효심헬스피트니스,1998-09-12,,,,20090318.0,폐업,전라북도 전주시 완산구 효자동1가 652번지 상산타운상가3/지하,,전라북도 전주시 완산구 효자동1가 652번지 상산타운상가3/지하,1,2009-03-18,2009,1998
머슬짐 휘트니스 클럽,2016-03-25,,,,20200115.0,폐업,전라북도 전주시 덕진구 덕진동1가 664-48번지,"전라북도 전주시 덕진구 권삼득로 327, 지하층 (덕진동1가)","전라북도 전주시 덕진구 권삼득로 327, 지하층 (덕진동1가)",1,2020-01-15,2020,2016
BM휘트니스클럽,2016-04-27,,,,20220209.0,폐업,전라북도 전주시 덕진구 인후동1가 463-25,"전라북도 전주시 덕진구 안덕원로 276, 3층 (인후동1가)","전라북도 전주시 덕진구 안덕원로 276, 3층 (인후동1가)",1,2022-02-09,2022,2016
체인지 바디클럽,2006-07-05,,,,20101105.0,폐업,전라북도 전주시 완산구 평화동1가 737-5번지 외1필지(737-13),,전라북도 전주시 완산구 평화동1가 737-5번지 외1필지(737-13),1,2010-11-05,2010,2006
교보휘트니스,2006-12-04,,,,20111118.0,폐업,전라북도 전주시 완산구 서신동 792번지,전라북도 전주시 완산구 당산로 96  (서신동),전라북도 전주시 완산구 당산로 96  (서신동),1,2011-11-18,2011,2006
성도휘트니스크럽,2006-12-11,,,,20090518.0,폐업,전라북도 전주시 덕진구 송천동1가 482-1번지,전라북도 전주시 덕진구 송천중앙로 154  (송천동1가),전라북도 전주시 덕진구 송천중앙로 154  (송천동1가),1,2009-05-18,2009,2006
코리아헬스크럽,1998-09-29,,,,20040618.0,폐업,전라북도 전주시 완산구 삼천동1가 743-8번지,전라북도 전주시 완산구 백제대로 46  (삼천동1가),전라북도 전주시 완산구 백제대로 46  (삼천동1가),1,2004-06-18,2004,1998
하일성헬스클럽,1998-12-11,,,,20041231.0,폐업,전라북도 전주시 완산구 효자동1가 651번지,전라북도 전주시 완산구 효자천변2길 13  (효자동1가),전라북도 전주시 완산구 효자천변2길 13  (효자동1가),1,2004-12-31,2004,1998
청솔헬스,1998-12-11,,,,20070525.0,폐업,전라북도 전주시 완산구 중화산동2가 636번지,,전라북도 전주시 완산구 중화산동2가 636번지,1,2007-05-25,2007,1998
대원패키지헬스,1998-12-15,,,,20030516.0,폐업,전라북도 전주시 완산구 서신동 771-1번지,전라북도 전주시 완산구 백제대로 450  (서신동),전라북도 전주시 완산구 백제대로 450  (서신동),1,2003-05-16,2003,1998
라이온남녀헬스,1998-09-17,,,,20040618.0,폐업,전라북도 전주시 완산구 효자동1가 662-5번지,전라북도 전주시 완산구 효자천변1길 25-4  (효자동1가),전라북도 전주시 완산구 효자천변1길 25-4  (효자동1가),1,2004-06-18,2004,1998
팬더헬스,1998-05-27,,,,20060808.0,폐업,전라북도 전주시 완산구 중화산동2가 650-7번지,전라북도 전주시 완산구 백제대로 260  (중화산동2가),전라북도 전주시 완산구 백제대로 260  (중화산동2가),1,2006-08-08,2006,1998
헬피아2,1998-02-09,,,,20040618.0,폐업,전라북도 전주시 완산구 효자동1가 505-8번지,,전라북도 전주시 완산구 효자동1가 505-8번지,1,2004-06-18,2004,1998
평화남여헬스,1998-09-29,,,,20160126.0,폐업,전라북도 전주시 완산구 평화동2가 336-9번지,전라북도 전주시 완산구 소대배기로 19-3 (평화동2가),전라북도 전주시 완산구 소대배기로 19-3 (평화동2가),1,2016-01-26,2016,1998
전북헬스,1998-01-09,,,,20160707.0,폐업,전라북도 전주시 덕진구 덕진동1가 1265-24번지,전라북도 전주시 덕진구 명륜2길 11-9 (덕진동1가),전라북도 전주시 덕진구 명륜2길 11-9 (덕진동1가),1,2016-07-07,2016,1998
영헬스원,1998-05-22,,,,20080414.0,폐업,전라북도 전주시 덕진구 인후동1가 767-2번지,전라북도 전주시 덕진구 견훤로 299  (인후동1가),전라북도 전주시 덕진구 견훤로 299  (인후동1가),1,2008-04-14,2008,1998
우석스포츠,1998-06-03,,,,20080414.0,폐업,전라북도 전주시 덕진구 동산동 665-16번지,,전라북도 전주시 덕진구 동산동 665-16번지,1,2008-04-14,2008,1998
GI GYM 휘트니스클럽,2016-08-11,,,,20170407.0,폐업,전라북도 전주시 덕진구 중동 774-6번지,"전라북도 전주시 덕진구 안전로 152, 6층 601,602호 (중동)","전라북도 전주시 덕진구 안전로 152, 6층 601,602호 (중동)",1,2017-04-07,2017,2016
power gym,2001-04-06,,,,20041028.0,폐업,전라북도 전주시 완산구 서노송동 649-3번지,전라북도 전주시 완산구 팔달로 273  (서노송동),전라북도 전주시 완산구 팔달로 273  (서노송동),1,2004-10-28,2004,2001
body for life 스포츠센터,2001-08-01,,,,20070413.0,폐업,전라북도 전주시 덕진구 금암동 670-1번지,전라북도 전주시 덕진구 백제대로 557  (금암동),전라북도 전주시 덕진구 백제대로 557  (금암동),1,2007-04-13,2007,2001
뉴욕휘트니스,2005-03-14,,,,20060808.0,폐업,전라북도 전주시 완산구 서노송동 648-7번지 양영빌딩6층,"전라북도 전주시 완산구 팔달로 272  (서노송동,양영빌딩6층)","전라북도 전주시 완산구 팔달로 272  (서노송동,양영빌딩6층)",1,2006-08-08,2006,2005
더즌휘트니스,2005-03-23,,,,20210805.0,폐업,전라북도 전주시 완산구 서신동 970-4,전라북도 전주시 완산구 온고을로 20 (서신동),전라북도 전주시 완산구 온고을로 20 (서신동),1,2021-08-05,2021,2005
02(오투) 헬스피아,2005-06-10,,,,20160707.0,폐업,전라북도 전주시 덕진구 동산동 708-3번지 4층,"전라북도 전주시 덕진구 덕용2길 7 (동산동,4층)","전라북도 전주시 덕진구 덕용2길 7 (동산동,4층)",1,2016-07-07,2016,2005
수정리슈스포츠클럽,2005-12-09,,,,20180302.0,폐업,전라북도 전주시 완산구 효자동3가 972-1번지,전라북도 전주시 완산구 원서곡길 66 (효자동3가),전라북도 전주시 완산구 원서곡길 66 (효자동3가),1,2018-03-02,2018,2005
발리 휘트니스크럽,2006-06-22,,,,20141015.0,폐업,"전라북도 전주시 덕진구 덕진동1가 1279-15번지 (4,5층)","전라북도 전주시 덕진구 기린대로 510  (덕진동1가,(4,5층))","전라북도 전주시 덕진구 기린대로 510  (덕진동1가,(4,5층))",1,2014-10-15,2014,2006
레스피아,2009-10-12,,,,20160707.0,폐업,전라북도 전주시 덕진구 덕진동1가 1277-2번지,전라북도 전주시 덕진구 명륜5길 15-5 (덕진동1가),전라북도 전주시 덕진구 명륜5길 15-5 (덕진동1가),1,2016-07-07,2016,2009
ZO GYM,2018-02-27,,,,20210520.0,폐업,전라북도 전주시 덕진구 우아동1가 1088-2,"전라북도 전주시 덕진구 아중로 194, 2층 (우아동1가)","전라북도 전주시 덕진구 아중로 194, 2층 (우아동1가)",1,2021-05-20,2021,2018
B&B GYM,2009-10-23,,,,20210805.0,폐업,전라북도 전주시 완산구 서신동 967-1 (7층),"전라북도 전주시 완산구 새터로 120 (서신동,(7층))","전라북도 전주시 완산구 새터로 120 (서신동,(7층))",1,2021-08-05,2021,2009
오투휘트니스헬스클럽,2009-10-23,,,,20180919.0,폐업,전라북도 전주시 완산구 효자동3가 1430-5번지 (2층),"전라북도 전주시 완산구 서곡3길 5 (효자동3가,(2층))","전라북도 전주시 완산구 서곡3길 5 (효자동3가,(2층))",1,2018-09-19,2018,2009
케이준 휘트니스,2010-08-03,,,,20131028.0,폐업,전라북도 전주시 덕진구 인후동1가 782번지 거성프라자아파트 1층 상가,"전라북도 전주시 덕진구 팽나무4길 7  (인후동1가,거성프라자아파트 1층 상가)","전라북도 전주시 덕진구 팽나무4길 7  (인후동1가,거성프라자아파트 1층 상가)",1,2013-10-28,2013,2010
송형석헬스타운,2001-02-28,,,,20070119.0,폐업,전라북도 전주시 덕진구 동산동 703-1번지,전라북도 전주시 덕진구 쪽구름로 54-1  (동산동),전라북도 전주시 덕진구 쪽구름로 54-1  (동산동),1,2007-01-19,2007,2001
Dr.솔,2010-09-06,,,,20120111.0,폐업,전라북도 전주시 완산구 효자동3가 977번지 2층,"전라북도 전주시 완산구 천잠로 507  (효자동3가,2층)","전라북도 전주시 완산구 천잠로 507  (효자동3가,2층)",1,2012-01-11,2012,2010
스타휘트니스,2011-01-25,,,,20160707.0,폐업,전라북도 전주시 덕진구 송천동1가 626-35번지 3층,"전라북도 전주시 덕진구 시천로 35, 3층 (송천동1가)","전라북도 전주시 덕진구 시천로 35, 3층 (송천동1가)",1,2016-07-07,2016,2011
퀸 휘트니스 앤 요가,2011-06-09,,,,20190711.0,폐업,전라북도 전주시 완산구 효자동2가 1318-4번지 청광빌딩 502호,전라북도 전주시 완산구 호암로 85 (효자동2가),전라북도 전주시 완산구 호암로 85 (효자동2가),1,2019-07-11,2019,2011
우석헬스,1999-07-02,,,,20080414.0,폐업,전라북도 전주시 덕진구 동산동 685-3번지,전라북도 전주시 덕진구 쪽구름3길 13  (동산동),전라북도 전주시 덕진구 쪽구름3길 13  (동산동),1,2008-04-14,2008,1999
나이스헬스클럽,1999-09-09,,,,20160707.0,폐업,전라북도 전주시 덕진구 송천동1가 138-2번지,전라북도 전주시 덕진구 솔내로 121 (송천동1가),전라북도 전주시 덕진구 솔내로 121 (송천동1가),1,2016-07-07,2016,1999
타워남여헬스타운,1999-10-22,,,,20051128.0,폐업,전라북도 전주시 덕진구 송천동1가 480번지,전라북도 전주시 덕진구 송천중앙로 147  (송천동1가),전라북도 전주시 덕진구 송천중앙로 147  (송천동1가),1,2005-11-28,2005,1999
삼성리빙스포츠센타,2000-10-30,,,,20070205.0,폐업,전라북도 전주시 완산구 평화동1가 870-1번지,,전라북도 전주시 완산구 평화동1가 870-1번지,1,2007-02-05,2007,2000
더 패밀리 휘트니스 서신점,2001-04-16,,,,20200401.0,폐업,전라북도 전주시 완산구 서신동 766,전라북도 전주시 완산구 온고을로 29 (서신동),전라북도 전주시 완산구 온고을로 29 (서신동),1,2020-04-01,2020,2001
삼라헬스,2001-10-30,,,,20120809.0,폐업,전라북도 전주시 완산구 삼천동1가 273-1번지,전라북도 전주시 완산구 장승배기로 62-7  (삼천동1가),전라북도 전주시 완산구 장승배기로 62-7  (삼천동1가),1,2012-08-09,2012,2001
리더스휘트니스클럽,2001-12-14,,,,20060410.0,폐업,전라북도 전주시 완산구 서신동 965-1번지 4층,"전라북도 전주시 완산구 온고을로 62  (서신동,4층)","전라북도 전주시 완산구 온고을로 62  (서신동,4층)",1,2006-04-10,2006,2001
다운타운헬스,2001-12-29,,,,20061220.0,폐업,전라북도 전주시 완산구 경원동3가 32-14번지,,전라북도 전주시 완산구 경원동3가 32-14번지,1,2006-12-20,2006,2001
아중헬스타운,2001-07-02,,,,20050404.0,폐업,전라북도 전주시 덕진구 산정동 857-3번지,전라북도 전주시 덕진구 안덕원로 382  (산정동),전라북도 전주시 덕진구 안덕원로 382  (산정동),1,2005-04-04,2005,2001
다다헬스타운,2001-02-24,,,,20080414.0,폐업,전라북도 전주시 덕진구 우아동3가 703-1번지,,전라북도 전주시 덕진구 우아동3가 703-1번지,1,2008-04-14,2008,2001
프라이빗 바디 휘트니스,2015-05-20,,,,20170911.0,폐업,전라북도 전주시 덕진구 중동 775-2번지,전라북도 전주시 덕진구 기지로 82 (중동),전라북도 전주시 덕진구 기지로 82 (중동),1,2017-09-11,2017,2015
터보토탈휘트니스,1999-05-08,,,,20080701.0,폐업,전라북도 전주시 완산구 중앙동3가 80번지,전라북도 전주시 완산구 전라감영5길 17  (중앙동3가),전라북도 전주시 완산구 전라감영5길 17  (중앙동3가),1,2008-07-01,2008,1999
