사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
주식회사디아이짐,2017-08-25,,,,,영업/정상,강원도 원주시 반곡동 1913-2,강원도 원주시 건강로 23 (반곡동),강원도 원주시 건강로 23 (반곡동),0,,,2017
원주건강스파랜드건강더하기헬스,2004-11-16,,,,,영업/정상,강원도 원주시 단구동 192-5번지,강원도 원주시 강변로 245  (단구동),강원도 원주시 강변로 245  (단구동),0,,,2004
기찬헬스 지압활법원,2006-12-22,,,,,영업/정상,강원도 원주시 반곡동 1140번지,강원도 원주시 동부순환로 33 (반곡동),강원도 원주시 동부순환로 33 (반곡동),0,,,2006
터틀짐,2008-02-11,,,,,영업/정상,강원도 원주시 단구동 1514-3번지 5층,"강원도 원주시 남원로 528-31 (단구동,5층)","강원도 원주시 남원로 528-31 (단구동,5층)",0,,,2008
히든헬스클럽,2009-04-24,,,,,영업/정상,강원도 원주시 명륜동 308-25 2층,"강원도 원주시 무실로 189 (명륜동,2층)","강원도 원주시 무실로 189 (명륜동,2층)",0,,,2009
상지헬스사우나,2009-09-29,,,,,영업/정상,강원도 원주시 우산동 234-2 2층,"강원도 원주시 우산로 32 (우산동,2층)","강원도 원주시 우산로 32 (우산동,2층)",0,,,2009
로드짐(ROAD GYM),2010-09-17,,,,,영업/정상,강원도 원주시 무실동 1641-8번지 센터프라자 10층,"강원도 원주시 시청로 80 (무실동,센터프라자 10층)","강원도 원주시 시청로 80 (무실동,센터프라자 10층)",0,,,2010
바디스튜디오 CAMO,2012-02-16,,,,,영업/정상,강원도 원주시 단계동 382-12번지,"강원도 원주시 로아노크로 28, 402호 (단계동)","강원도 원주시 로아노크로 28, 402호 (단계동)",0,,,2012
상아휘트니스,2012-06-05,,,,,영업/정상,강원도 원주시 단계동 1191-5번지,"강원도 원주시 바우골길 8, 5층 (단계동)","강원도 원주시 바우골길 8, 5층 (단계동)",0,,,2012
바디메이커 단계점,2012-06-26,,,,,영업/정상,강원도 원주시 단계동 865-6 더파크타워,"강원도 원주시 봉화로 22, 더파크타워 10층 (단계동)","강원도 원주시 봉화로 22, 더파크타워 10층 (단계동)",0,,,2012
호크아이짐(HAWK EYE GYM),2013-09-10,,,,,영업/정상,강원도 원주시 단계동 651-1,강원도 원주시 서원대로 106 (단계동),강원도 원주시 서원대로 106 (단계동),0,,,2013
조이클럽멀티짐,2014-01-14,,,,,영업/정상,강원도 원주시 단구동 1607-9번지 3층,강원도 원주시 나비허리길 33 (단구동),강원도 원주시 나비허리길 33 (단구동),0,,,2014
커브스무실클럽,2014-08-29,,,,,영업/정상,강원도 원주시 무실동 1641-8번지,"강원도 원주시 시청로 80, 303호 (무실동)","강원도 원주시 시청로 80, 303호 (무실동)",0,,,2014
바디팩토리,2014-11-11,,,,,영업/정상,강원도 원주시 무실동 1662-1 1층,강원도 원주시 만대로 158 (무실동),강원도 원주시 만대로 158 (무실동),0,,,2014
우리동네헬스장,2015-08-24,,,,,영업/정상,강원도 원주시 무실동 1850-7번지,강원도 원주시 능라동길 74 (무실동),강원도 원주시 능라동길 74 (무실동),0,,,2015
바디라인 휘트니스 센터,2016-07-11,,,,,영업/정상,,"강원도 원주시 입춘로 69, 401호 (반곡동)","강원도 원주시 입춘로 69, 401호 (반곡동)",0,,,2016
크로스핏 BnK,2017-06-30,,,,,영업/정상,강원도 원주시 단구동 1554-1번지,강원도 원주시 천매봉길 32-22 (단구동),강원도 원주시 천매봉길 32-22 (단구동),0,,,2017
HM토탈휘트니스,2017-07-19,,,,,영업/정상,강원도 원주시 단구동 1511-2 스타월드,"강원도 원주시 서원대로 396, 스타월드 (단구동)","강원도 원주시 서원대로 396, 스타월드 (단구동)",0,,,2017
O GYM,2017-08-28,,,,,영업/정상,강원도 원주시 우산동 176-4번지,강원도 원주시 모란1길 69 (우산동),강원도 원주시 모란1길 69 (우산동),0,,,2017
무실스포츠,2016-01-07,,,,,영업/정상,강원도 원주시 무실동 1641-9번지,"강원도 원주시 시청로 82, 301호 (무실동)","강원도 원주시 시청로 82, 301호 (무실동)",0,,,2016
Motionheal PT shop,2016-01-11,,,,,영업/정상,,"강원도 원주시 입춘로 110, 6층 602호 (반곡동)","강원도 원주시 입춘로 110, 6층 602호 (반곡동)",0,,,2016
커브스단구클럽,2016-03-17,,,,,영업/정상,,"강원도 원주시 서원대로 392, 307호 (단구동)","강원도 원주시 서원대로 392, 307호 (단구동)",0,,,2016
NB PRIVATE GYM,2016-03-17,,,,,영업/정상,,"강원도 원주시 삼보로 25, 602호 (반곡동)","강원도 원주시 삼보로 25, 602호 (반곡동)",0,,,2016
더 에스 짐,2017-11-07,,,,,영업/정상,강원도 원주시 행구동 1713-32번지,강원도 원주시 영랑길 13 (행구동),강원도 원주시 영랑길 13 (행구동),0,,,2017
바디라인 휘트니스 무실점,2017-12-21,,,,,영업/정상,강원도 원주시 무실동 1855-2번지,"강원도 원주시 능라동길 48-1, 5층 (무실동)","강원도 원주시 능라동길 48-1, 5층 (무실동)",0,,,2017
ROAD GYM(로드짐),2017-12-29,,,,,영업/정상,강원도 원주시 반곡동 1885-2,"강원도 원주시 혁신로 37-2, 5층 501호 (반곡동)","강원도 원주시 혁신로 37-2, 5층 501호 (반곡동)",0,,,2017
건강해GYM,2018-03-09,,,,,영업/정상,강원도 원주시 단계동 1097-4번지,"강원도 원주시 백간공원길 29, 2층 (단계동)","강원도 원주시 백간공원길 29, 2층 (단계동)",0,,,2018
