사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
Gym H.R,2018-12-18,,,,,영업/정상,세종특별자치시 아름동 1332번지 영토빌딩,"세종특별자치시 아름서1길 13-4, 영토빌딩 402호 (아름동)","세종특별자치시 아름서1길 13-4, 영토빌딩 402호 (아름동)",0,,,2018
스파르타짐 나성점,2022-05-31,,,,,영업/정상,세종특별자치시 나성동 789 제이빌딩,"세종특별자치시 나성북1로 18, 제이빌딩 303~305호 (나성동)","세종특별자치시 나성북1로 18, 제이빌딩 303~305호 (나성동)",0,,,2022
충청헬스클럽,1993-11-16,,,,20180626.0,취소/말소/만료/정지/중지,세종특별자치시 조치원읍 죽림리 379-11번지,세종특별자치시 조치원읍 충현로 77,세종특별자치시 조치원읍 충현로 77,1,2018-06-26,2018,1993
청호헬스,2002-04-26,,,,20100827.0,취소/말소/만료/정지/중지,세종특별자치시 부강면 부강리 431-4번지,,세종특별자치시 부강면 부강리 431-4번지,1,2010-08-27,2010,2002
바디 디자이너,2015-07-02,,,,20190710.0,취소/말소/만료/정지/중지,세종특별자치시 종촌동 151-87번지,"세종특별자치시 도움3로 105-5, 401-1,401-2호 (종촌동)","세종특별자치시 도움3로 105-5, 401-1,401-2호 (종촌동)",1,2019-07-10,2019,2015
충남헬스클럽,1991-05-03,,,,20090216.0,폐업,세종특별자치시 조치원읍 상리 97번지,,세종특별자치시 조치원읍 상리 97번지,1,2009-02-16,2009,1991
부강남여헬스,2000-09-07,,,,,폐업,세종특별자치시 부강면 부강리 458-2번지,세종특별자치시 부강면 시장길 37,세종특별자치시 부강면 시장길 37,0,,,2000
우성헬스,2003-12-02,,,,20090224.0,폐업,세종특별자치시 조치원읍 원리 12-1번지,세종특별자치시 조치원읍 조치원2길 5,세종특별자치시 조치원읍 조치원2길 5,1,2009-02-24,2009,2003
바디짐,2017-07-12,,,,20170808.0,폐업,,세종특별자치시 조치원읍 행복1길 3,세종특별자치시 조치원읍 행복1길 3,1,2017-08-08,2017,2017
커브스 한솔 클럽,2015-07-14,,,,20190601.0,폐업,세종특별자치시 한솔동 930번지,"세종특별자치시 노을3로 92, 301호 (한솔동)","세종특별자치시 노을3로 92, 301호 (한솔동)",1,2019-06-01,2019,2015
세종 PT,2015-07-21,,,,20191204.0,폐업,세종특별자치시 아름동 1296번지 해피라움1,"세종특별자치시 보듬3로 100, 1동 7층 704호 (아름동)","세종특별자치시 보듬3로 100, 1동 7층 704호 (아름동)",1,2019-12-04,2019,2015
(주)뉴월드 스포츠 매니지먼트 세종지점 월드바디핏,2016-01-14,,,,20190218.0,폐업,세종특별자치시 나성동 499번지,"세종특별자치시 나리3로 41, 401호 (나성동, 하해빌딩)","세종특별자치시 나리3로 41, 401호 (나성동, 하해빌딩)",1,2019-02-18,2019,2016
