사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
멋을,2016-03-07,,,,,영업/정상,전라남도 나주시 빛가람동 277-2번지,"전라남도 나주시 빛가람로 730, 4층 (빛가람동, SK타워)","전라남도 나주시 빛가람로 730, 4층 (빛가람동, SK타워)",0,,,2016
네오피트니스,2017-08-29,,,,,영업/정상,전라남도 나주시 빛가람동 285-2번지,"전라남도 나주시 배멧1길 26-1, 3층 (빛가람동, 아이엔지타워)","전라남도 나주시 배멧1길 26-1, 3층 (빛가람동, 아이엔지타워)",0,,,2017
바디 체인지 업,2017-09-21,,,,,영업/정상,전라남도 나주시 빛가람동 196-1번지,전라남도 나주시 우정로 56 (빛가람동),전라남도 나주시 우정로 56 (빛가람동),0,,,2017
MAC GYM,2018-01-15,,,,,영업/정상,전라남도 나주시 빛가람동 348-17번지,"전라남도 나주시 배멧3길 19-13, 호텔코어 3층 301호 (빛가람동)","전라남도 나주시 배멧3길 19-13, 호텔코어 3층 301호 (빛가람동)",0,,,2018
담양헬스클럽,1996-07-12,,,,,영업/정상,전라남도 담양군 담양읍 지침리 280-7번지,전라남도 담양군 담양읍 지침6길 38,전라남도 담양군 담양읍 지침6길 38,0,,,1996
두우팔헬스클럽,1998-04-10,,,,,영업/정상,전라남도 담양군 담양읍 지침리 661번지,전라남도 담양군 담양읍 중앙로 24,전라남도 담양군 담양읍 중앙로 24,0,,,1998
신대사우나 스크린골프연습장(301호),2017-05-31,,,,,영업/정상,전라남도 순천시 해룡면 신대리 1983번지,전라남도 순천시 해룡면 신대4길 4-57,전라남도 순천시 해룡면 신대4길 4-57,0,,,2017
힘피트니스,2017-08-01,,,,,영업/정상,전라남도 순천시 연향동 1687-3 301호,"전라남도 순천시 팔마2길 50, 301호 (연향동)","전라남도 순천시 팔마2길 50, 301호 (연향동)",0,,,2017
명성헬스클럽,2011-01-21,,,,,영업/정상,전라남도 순천시 조례동 957-6번지,"전라남도 순천시 신월큰길 34 (조례동, 순천신협)","전라남도 순천시 신월큰길 34 (조례동, 순천신협)",0,,,2011
헬스 플렉스,2011-07-26,,,,,영업/정상,전라남도 순천시 조례동 1587-4번지 에코그라드호텔,"전라남도 순천시 백강로 234, 에코그라드호텔 7층 (조례동)","전라남도 순천시 백강로 234, 에코그라드호텔 7층 (조례동)",0,,,2011
BK GYM,2011-08-11,,,,,영업/정상,전라남도 순천시 연향동 1023-7번지,전라남도 순천시 명말2길 2 (연향동),전라남도 순천시 명말2길 2 (연향동),0,,,2011
문 휘트니스,2012-04-17,,,,,영업/정상,전라남도 순천시 연향동 1343-6,전라남도 순천시 연향3로 33 (연향동),전라남도 순천시 연향3로 33 (연향동),0,,,2012
"SC스포츠센터3층(313,314,315,316호)",2012-05-24,,,,,영업/정상,전라남도 순천시 덕암동 151번지,전라남도 순천시 충효로 15 (덕암동),전라남도 순천시 충효로 15 (덕암동),0,,,2012
코리아헬스,2012-07-09,,,,,영업/정상,전라남도 순천시 연향동 1327-4번지,전라남도 순천시 연향상가길 41 (연향동),전라남도 순천시 연향상가길 41 (연향동),0,,,2012
정우헬스,2012-10-10,,,,,영업/정상,전라남도 순천시 중앙동 101-5번지,전라남도 순천시 중앙7길 10 (중앙동),전라남도 순천시 중앙7길 10 (중앙동),0,,,2012
커브스왕조클럽,2014-04-29,,,,,영업/정상,전라남도 순천시 조례동 1832-11번지,전라남도 순천시 왕궁길 25 (조례동),전라남도 순천시 왕궁길 25 (조례동),0,,,2014
비타민헬스,2014-07-29,,,,,영업/정상,전라남도 순천시 해룡면 신대리 2037-1번지,전라남도 순천시 해룡면 신대로 8,전라남도 순천시 해룡면 신대로 8,0,,,2014
문화건강센터 체력단련장,2014-11-10,,,,,영업/정상,전라남도 순천시 석현동 62-3번지,전라남도 순천시 환선로 133 (석현동),전라남도 순천시 환선로 133 (석현동),0,,,2014
힐링짐,2014-12-10,,,,,영업/정상,전라남도 순천시 왕지동 860-2번지,전라남도 순천시 왕지로 35 (왕지동),전라남도 순천시 왕지로 35 (왕지동),0,,,2014
신대휘트니스,2015-01-26,,,,,영업/정상,전라남도 순천시 해룡면 신대리 1989-4번지,전라남도 순천시 해룡면 향매로 105,전라남도 순천시 해룡면 향매로 105,0,,,2015
Seven Fitness(4층),2015-03-05,,,,,영업/정상,전라남도 순천시 해룡면 상삼리 383-2번지,전라남도 순천시 해룡면 지봉로 390,전라남도 순천시 해룡면 지봉로 390,0,,,2015
THE FIT,2015-04-24,,,,,영업/정상,전라남도 순천시 왕지동 863-3번지 소매점 401호,"전라남도 순천시 왕지로 2, 소매점 4층 (왕지동)","전라남도 순천시 왕지로 2, 소매점 4층 (왕지동)",0,,,2015
THE GYM P.T스피닝(6층),2015-09-02,,,,,영업/정상,전라남도 순천시 조례동 1721-5번지,"전라남도 순천시 이수로 319 (조례동, LG텔레콤)","전라남도 순천시 이수로 319 (조례동, LG텔레콤)",0,,,2015
"BODY,S SMITH(2층)",2016-03-08,,,,,영업/정상,전라남도 순천시 조례동 1246-1번지,"전라남도 순천시 충효로 133, 2층 (조례동)","전라남도 순천시 충효로 133, 2층 (조례동)",0,,,2016
휘트니스UP(1층),2016-06-16,,,,,영업/정상,전라남도 순천시 매곡동 399번지,"전라남도 순천시 매산큰길 95 (매곡동, PC방예카스테이션)","전라남도 순천시 매산큰길 95 (매곡동, PC방예카스테이션)",0,,,2016
ACE FIT(2층 B2-3),2016-06-30,,,,,영업/정상,전라남도 순천시 연향동 1319-1번지,"전라남도 순천시 연향3로 11 (연향동, 대형약국)","전라남도 순천시 연향3로 11 (연향동, 대형약국)",0,,,2016
스포츠센터(3층),2016-09-08,,,,,영업/정상,전라남도 순천시 조례동 1834-4번지,"전라남도 순천시 백연길 98 (조례동, 비타민약국)","전라남도 순천시 백연길 98 (조례동, 비타민약국)",0,,,2016
JOO GYM(8층),2017-05-22,,,,,영업/정상,전라남도 순천시 풍덕동 1757-1,전라남도 순천시 순천만정원로 86 (풍덕동),전라남도 순천시 순천만정원로 86 (풍덕동),0,,,2017
퍼스트짐,2018-01-12,,,,,영업/정상,전라남도 순천시 조례동 802-1,"전라남도 순천시 비봉길 51-17, 2층 (조례동)","전라남도 순천시 비봉길 51-17, 2층 (조례동)",0,,,2018
더바른몸,2018-06-28,,,,,영업/정상,전라남도 순천시 조례동 975-17번지 6층,"전라남도 순천시 신월큰길 7, 6층 (조례동)","전라남도 순천시 신월큰길 7, 6층 (조례동)",0,,,2018
Kim선생토탈휘트니스클럽,2018-07-03,,,,,영업/정상,전라남도 순천시 조례동 802-1 1층,"전라남도 순천시 비봉길 51-17, 1층 (조례동)","전라남도 순천시 비봉길 51-17, 1층 (조례동)",0,,,2018
원 피티,2015-07-08,,,,,영업/정상,전라남도 목포시 상동 986 상아빌딩,"전라남도 목포시 장미로 20, 상아빌딩 4층 (상동)","전라남도 목포시 장미로 20, 상아빌딩 4층 (상동)",0,,,2015
킹콩 GYM,2016-04-11,,,,,영업/정상,전라남도 목포시 용해동 980-4번지,"전라남도 목포시 용당로 337 (용해동, FM337빌딩)","전라남도 목포시 용당로 337 (용해동, FM337빌딩)",0,,,2016
제이필라테스/퍼스널트레이닝,2016-04-21,,,,,영업/정상,전라남도 목포시 상동 873-1번지,"전라남도 목포시 옥암로 73, 2층 (상동)","전라남도 목포시 옥암로 73, 2층 (상동)",0,,,2016
건 휘트니스,2016-05-17,,,,,영업/정상,전라남도 목포시 옥암동 1333-1번지 5층,"전라남도 목포시 남악로 161, 5층 (옥암동)","전라남도 목포시 남악로 161, 5층 (옥암동)",0,,,2016
