사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
해운대PT 삼화지구점,2019-11-26,,,,,영업/정상,제주특별자치도 제주시 삼양이동 2171-10,"제주특별자치도 제주시 삼봉로2길 62, 2층 (삼양이동)","제주특별자치도 제주시 삼봉로2길 62, 2층 (삼양이동)",0,,,2019
바른움직임,2021-07-27,,,,,영업/정상,제주특별자치도 서귀포시 대정읍 구억리 838-8,"제주특별자치도 서귀포시 대정읍 중산간서로2262번길 5, 2층","제주특별자치도 서귀포시 대정읍 중산간서로2262번길 5, 2층",0,,,2021
정글짐 서사라점,2022-11-23,,,,,영업/정상,제주특별자치도 제주시 삼도이동 599-6,"제주특별자치도 제주시 서사로 67, 2층 (삼도이동)","제주특별자치도 제주시 서사로 67, 2층 (삼도이동)",0,,,2022
케이휘트니스 삼화점,2022-11-16,,,,,영업/정상,제주특별자치도 제주시 화북이동 826-1,"제주특별자치도 제주시 청풍남8길 73, 5층 (화북이동)","제주특별자치도 제주시 청풍남8길 73, 5층 (화북이동)",0,,,2022
연세 여성헬스,2021-06-23,,,,,영업/정상,제주특별자치도 서귀포시 성산읍 성산리 363,제주특별자치도 서귀포시 성산읍 한도로 199,제주특별자치도 서귀포시 성산읍 한도로 199,0,,,2021
리치유 휘트니스,2021-05-24,,,,,영업/정상,제주특별자치도 서귀포시 성산읍 성산리 392 제주 성산 리치유 클래시아,제주특별자치도 서귀포시 성산읍 성산등용로17번길 55 (제주 성산 리치유 클래시아),제주특별자치도 서귀포시 성산읍 성산등용로17번길 55 (제주 성산 리치유 클래시아),0,,,2021
본 휘트니스 애월점,2021-05-10,,,,,영업/정상,제주특별자치도 제주시 애월읍 신엄리 2657-2 바다 그리고 길,"제주특별자치도 제주시 애월읍 신엄로 51, 바다 그리고 길","제주특별자치도 제주시 애월읍 신엄로 51, 바다 그리고 길",0,,,2021
루다피트니스,2021-06-29,,,,,영업/정상,제주특별자치도 제주시 화북일동 1984-8,"제주특별자치도 제주시 일주동로 187, 5층층 (화북일동)","제주특별자치도 제주시 일주동로 187, 5층층 (화북일동)",0,,,2021
리더스 휘트니스,2021-06-01,,,,,영업/정상,제주특별자치도 제주시 영평동 2170-1 JDC스마트빌딩,"제주특별자치도 제주시 첨단로 213-3, JDC스마트빌딩 5층 (영평동)","제주특별자치도 제주시 첨단로 213-3, JDC스마트빌딩 5층 (영평동)",0,,,2021
퍼스트짐 제주한림점,2020-10-05,,,,,영업/정상,제주특별자치도 제주시 한림읍 한림리 1119,"제주특별자치도 제주시 한림읍 한림남1길 3, 몽돌스테이 3층","제주특별자치도 제주시 한림읍 한림남1길 3, 몽돌스테이 3층",0,,,2020
바디채널 시청점,2020-10-26,,,,,영업/정상,제주특별자치도 제주시 이도일동 1774-2,"제주특별자치도 제주시 서광로 301, 5층 (이도일동)","제주특별자치도 제주시 서광로 301, 5층 (이도일동)",0,,,2020
HGYM,2020-11-10,,,,,영업/정상,제주특별자치도 서귀포시 동홍동 420-3,"제주특별자치도 서귀포시 동홍중앙로66번길 30-7, 202호 (동홍동)","제주특별자치도 서귀포시 동홍중앙로66번길 30-7, 202호 (동홍동)",0,,,2020
운동공간,2020-11-19,,,,,영업/정상,제주특별자치도 제주시 이도이동 2014-8 이도 트윈스빌,"제주특별자치도 제주시 구남동4길 30, 이도 트윈스빌 1층 (이도이동)","제주특별자치도 제주시 구남동4길 30, 이도 트윈스빌 1층 (이도이동)",0,,,2020
마인트휘트니스 신화역사점,2020-11-12,,,,,영업/정상,제주특별자치도 서귀포시 안덕면 서광리 2518,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139,0,,,2020
YOU FITNESS,2022-08-30,,,,,영업/정상,제주특별자치도 제주시 연동 302-3,"제주특별자치도 제주시 신대로 104, A동 2,3층 (연동)","제주특별자치도 제주시 신대로 104, A동 2,3층 (연동)",0,,,2022
리스펙트짐,2022-09-14,,,,,영업/정상,제주특별자치도 제주시 도평동 781,"제주특별자치도 제주시 우평로 137, 1층 (도평동)","제주특별자치도 제주시 우평로 137, 1층 (도평동)",0,,,2022
오늘운동,2022-09-01,,,,,영업/정상,제주특별자치도 제주시 노형동 3789-3,"제주특별자치도 제주시 노형10길 6, 2층 (노형동)","제주특별자치도 제주시 노형10길 6, 2층 (노형동)",0,,,2022
위드짐,2022-10-28,,,,,영업/정상,제주특별자치도 제주시 도남동 713-1,"제주특별자치도 제주시 복지로5길 12, 4층 (도남동)","제주특별자치도 제주시 복지로5길 12, 4층 (도남동)",0,,,2022
케이휘트니스,2022-09-22,,,,,영업/정상,제주특별자치도 제주시 조천읍 함덕리 1002-45,"제주특별자치도 제주시 조천읍 신북로 546, 2층","제주특별자치도 제주시 조천읍 신북로 546, 2층",0,,,2022
