사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
브이아이핏,2022-06-27,,,,,영업/정상,충청남도 천안시 동남구 용곡동 248-2 학원 휴게음식점,"충청남도 천안시 동남구 용곡5길 39-4, 학원 휴게음식점 2층 (용곡동)","충청남도 천안시 동남구 용곡5길 39-4, 학원 휴게음식점 2층 (용곡동)",0,,,2022
K 헬스 GYM,2022-04-27,,,,,영업/정상,충청남도 공주시 교동 3-198,"충청남도 공주시 봉황로 154, 2층 (교동)","충청남도 공주시 봉황로 154, 2층 (교동)",0,,,2022
더블유 건강관리 센터,2022-06-17,,,,,영업/정상,충청남도 천안시 서북구 두정동 397-4,"충청남도 천안시 서북구 천안대로 1024-5, 2층층 (두정동)","충청남도 천안시 서북구 천안대로 1024-5, 2층층 (두정동)",0,,,2022
고릴라 GYM 백석대점,2022-05-19,,,,,영업/정상,충청남도 천안시 동남구 안서동 371-21,"충청남도 천안시 동남구 문암로 63, 3층 (안서동)","충청남도 천안시 동남구 문암로 63, 3층 (안서동)",0,,,2022
그린헬스,2005-07-22,,,,20121213.0,취소/말소/만료/정지/중지,충청남도 보령시 동대동 818-10번지,충청남도 보령시 문화원길 29 (동대동),충청남도 보령시 문화원길 29 (동대동),1,2012-12-13,2012,2005
아이온스포츠,2007-09-06,,,,20100419.0,취소/말소/만료/정지/중지,충청남도 천안시 서북구 성정동 1123번지 탑존빌딩5층,"충청남도 천안시 서북구 서부대로 696  (성정동,탑존빌딩5층)","충청남도 천안시 서북구 서부대로 696  (성정동,탑존빌딩5층)",1,2010-04-19,2010,2007
드림닥터휘트니스센터,2012-05-18,,,,20170426.0,취소/말소/만료/정지/중지,충청남도 천안시 동남구 유량동 50번지 외1필지,충청남도 천안시 동남구 태조산길 266 (유량동),충청남도 천안시 동남구 태조산길 266 (유량동),1,2017-04-26,2017,2012
성정헬스,2002-03-04,,,,20100317.0,취소/말소/만료/정지/중지,충청남도 천안시 서북구 성정동 715-12번지,충청남도 천안시 서북구 봉정로 143  (성정동),충청남도 천안시 서북구 봉정로 143  (성정동),1,2010-03-17,2010,2002
하이스타헬스타운,2003-03-13,,,,20100317.0,취소/말소/만료/정지/중지,"충청남도 천안시 서북구 성환읍 매주리 45-1번지 부영아파트상가 101,102,102호","충청남도 천안시 서북구 성환읍 천안대로 1843  (부영아파트상가 101,102,102호)","충청남도 천안시 서북구 성환읍 천안대로 1843  (부영아파트상가 101,102,102호)",1,2010-03-17,2010,2003
파워헬스,2007-02-26,,,,20201116.0,취소/말소/만료/정지/중지,충청남도 홍성군 홍성읍 오관리 457-5,충청남도 홍성군 홍성읍 홍성천길 114,충청남도 홍성군 홍성읍 홍성천길 114,1,2020-11-16,2020,2007
