,사업장명,인허가일자,인허가취소일자,폐업일자,상세영업상태코드,상세영업상태명,도로명주소,지번주소
3556,하이클래스짐(구성점),20220711,,,13,영업중,"경기도 용인시 기흥구 구성로 80, 6,7층 (언남동)","경기도 용인시 기흥구 언남동 355 6,7층 "
3557,브레이브 휘트니스,20200106,,,13,영업중,"경기도 용인시 수지구 정든로6번길 2, 그린피아 B201호 (죽전동)",경기도 용인시 수지구 죽전동 452-6 그린피아 
3558,웨스트피지오짐,20220722,,,13,영업중,"경기도 용인시 기흥구 마북로 170, 2층 (마북동)",경기도 용인시 기흥구 마북동 187-6 2층 
3559,크로스핏 핫플레이스 구성역점,20220722,,,13,영업중,"경기도 용인시 기흥구 용구대로2394번길 14, 지하2층 (마북동)",경기도 용인시 기흥구 마북동 520-9 구성농협 지하2층 
3560,셋업 피트니스,20220901,,,13,영업중,"경기도 용인시 기흥구 흥덕1로79번길 2, 3층 301호, 311호 (영덕동)","경기도 용인시 기흥구 영덕동 986-1 가은프라자 3층 310호, 311호 "
3561,스타디온,20210311,,,13,영업중,"경기도 용인시 수지구 신봉1로48번길 11, 뉴골드프라자 B102호 (신봉동)",경기도 용인시 수지구 신봉동 50-2 뉴골드프라자 
3562,스테이피티앤필라테스,20220526,,,13,영업중,"경기도 용인시 처인구 고림로 92, 3층 (고림동)",경기도 용인시 처인구 고림동 736-26 3층 
3563,하이짐 개인&그룹PT,20220426,,,13,영업중,"경기도 용인시 수지구 문정로 46, 한길타운 B101호 (풍덕천동)",경기도 용인시 수지구 풍덕천동 707 한길타운 
3564,소노 핏,20220419,,,13,영업중,"경기도 용인시 기흥구 동백3로11번길 8, V프라자 306호 (중동)",경기도 용인시 기흥구 중동 853-3 V프라자 306호
3565,디알짐(D.R GYM),20220620,,,13,영업중,"경기도 용인시 기흥구 중부대로 64, 영통프리미엄아울렛 B동 2층 83호 (영덕동)",경기도 용인시 기흥구 영덕동 517-1 영통프리미엄아울렛 B동 2층 83호 
3566,아르더짐,20220715,,,13,영업중,"경기도 용인시 기흥구 예현로 23, 307호 (서천동)",경기도 용인시 기흥구 서천동 360 307호
3567,삼성전자 기흥 세미콘 피트니스,20220510,,,13,영업중,"경기도 용인시 기흥구 삼성2로 93, 세미콘스포렉스 B1 (농서동)",경기도 용인시 기흥구 농서동 158 세미콘스포렉스 B1 
3568,리치짐,20220208,,,13,영업중,"경기도 용인시 기흥구 구갈로 74, 구갈스포츠센타 3층 301,302호 (구갈동)","경기도 용인시 기흥구 구갈동 351 구갈스포츠센타 3층 301,302호 "
3569,운동에 반하다,20211123,,,13,영업중,"경기도 용인시 기흥구 구갈로 64, 소공빌딩 703호 (구갈동)",경기도 용인시 기흥구 구갈동 352-5 소공빌딩 703호
3570,뉴바디핏 PT STUDIO,20220106,,,13,영업중,"경기도 용인시 수지구 대지로 58, 선진포리스트 나동 311호 (죽전동)",경기도 용인시 수지구 죽전동 1254-3 선진포리스트 
3571,토탈운동센터,20220217,,,13,영업중,"경기도 용인시 수지구 대지로 152, 경주김씨남곡종파종중빌딩 나동 지층 (죽전동)",경기도 용인시 수지구 죽전동 1227 경주김씨남곡종파종중빌딩 
3572,바른몸 트레이닝센터,20220127,,,13,영업중,"경기도 용인시 수지구 성복2로 17, 골드프라자1 106호 (성복동)",경기도 용인시 수지구 성복동 33-1 골드프라자1 
3573,네스트(NEST),20220530,,,13,영업중,"경기도 용인시 수지구 용구대로 2793, B05호 (죽전동, LH 청년나래家)",경기도 용인시 수지구 죽전동 1493 LH 청년나래家 
3574,팔층피티(87PT),20190917,,,13,영업중,"경기도 용인시 수지구 광교중앙로 313, 801호 (상현동)",경기도 용인시 수지구 상현동 1117-2 
3575,FRANK PARK,20190408,,,13,영업중,"경기도 용인시 기흥구 흥덕1로 101, 스타프라자 604호 (영덕동)",경기도 용인시 기흥구 영덕동 986-9 스타프라자 604호
3576,파서블짐(Possible Gym),20190507,,,13,영업중,"경기도 용인시 수지구 신봉2로 19, 신LG프라자 203호 (신봉동)",경기도 용인시 수지구 신봉동 83 신LG프라자 
3577,핏허브휘트니스,20210609,,,13,영업중,"경기도 용인시 기흥구 중부대로 242, NS오토허브 A동 4층 06호 (영덕동)",경기도 용인시 기흥구 영덕동 1266 NS오토허브 A동 06호
3578,퓨어핏,20210629,,,13,영업중,"경기도 용인시 기흥구 흥덕2로 85, 우연프라자 204호 (영덕동)",경기도 용인시 기흥구 영덕동 986-8 우연프라자 204호
3579,라인휘트니스,20191011,,,13,영업중,"경기도 용인시 기흥구 사은로 130, 지하1층 B01호 (보라동)",경기도 용인시 기흥구 보라동 137-2 B01호
3580,더피트니스카사(THE FITNESS CASA),20210719,,,13,영업중,"경기도 용인시 수지구 현암로 153, 건영타운 302호 (죽전동)",경기도 용인시 수지구 죽전동 1188-1 건영타운 
3581,럭키세븐짐,20200108,,,13,영업중,"경기도 용인시 기흥구 죽현로 8-22, 휴먼타워 5층 506호 (보정동)",경기도 용인시 기흥구 보정동 1261-1 휴먼타워 506호
3582,글로리휘트니스,20200214,,,13,영업중,"경기도 용인시 기흥구 중부대로 563, 사훈프라자 201,203호 (구갈동)","경기도 용인시 기흥구 구갈동 581-2 사훈프라자 201,2호"
3583,글로우짐(GLOW GYM),20200803,,,13,영업중,"경기도 용인시 기흥구 죽전로 3, 메트로프라자 303호 (보정동)",경기도 용인시 기흥구 보정동 1195-1 메트로프라자 303호
3584,돌핀짐(Dolphin Gym),20190124,,,13,영업중,"경기도 용인시 수지구 풍덕천로129번길 15, 3층 (풍덕천동)",경기도 용인시 수지구 풍덕천동 707-4 
3585,하이짐,20200818,,,13,영업중,"경기도 용인시 수지구 죽전로 164, WHITEZONE 4층 401~402호 (죽전동)",경기도 용인시 수지구 죽전동 1342-2 WHITEZONE 
3586,마이짐(MY GYM),20131209,,,13,영업중,"경기도 용인시 기흥구 흥덕2로87번길 17, 세림프라자 5층 (501~507)호 (영덕동)",경기도 용인시 기흥구 영덕동 986-2 세림프라자 
3587,피트니스M 상현점,20210610,,,13,영업중,"경기도 용인시 수지구 만현로 113, 미래프라자 301호 (상현동)",경기도 용인시 수지구 상현동 263 미래프라자 
3588,문라잇 크로스핏 성복점,20210712,,,13,영업중,"경기도 용인시 수지구 심곡로 87, 수지 제일 아이조움 B123.B124.B125호 (성복동)",경기도 용인시 수지구 성복동 33-5 수지 제일 아이조움 
3589,퍼펙트짐#2,20210712,,,13,영업중,"경기도 용인시 처인구 이동읍 백옥대로 618, 5층",경기도 용인시 처인구 이동읍 천리 241-4 
3590,힙스짐,20210727,,,13,영업중,"경기도 용인시 처인구 고림로200번길 1, 201호,202호 (고림동)","경기도 용인시 처인구 고림동 599-4 201호,202호 "
3591,CS휘트니스,20200527,,,13,영업중,"경기도 용인시 수지구 만현로 17-1, 3층 (상현동)",경기도 용인시 수지구 상현동 5-4 
3592,JUST PT STUDIO,20210104,,,13,영업중,"경기도 용인시 수지구 광교중앙로295번길 21, 303호 (상현동)",경기도 용인시 수지구 상현동 1116-1 
3593,코어핏짐,20210107,,,13,영업중,"경기도 용인시 수지구 성복2로 246, 1층 (성복동)",경기도 용인시 수지구 성복동 400-1 
3594,엘지빌리지 휘트니스(다부짐 DABOOGYM),20170117,,,13,영업중,"경기도 용인시 수지구 수지로113번길 15, 관리사무소동 (성복동, 성동마을엘지빌리지2차아파트)",경기도 용인시 수지구 성복동 90-1 성동마을엘지빌리지2차아파트 
3595,짐씩스,20201028,,,13,영업중,"경기도 용인시 기흥구 동백4로 6, 아이브타운 501,502호 (중동)",경기도 용인시 기흥구 중동 850-1 아이브타운 
3596,동일스포츠클럽,20140114,,,13,영업중,"경기도 용인시 기흥구 석성로 493, 지하1층 (동백동)",경기도 용인시 기흥구 동백동 390-34번지
3597,아탑휘트니스,20091022,,,13,영업중,"경기도 용인시 기흥구 동백중앙로 283 (중동,A201호, A202호, A203호, A208호)","경기도 용인시 기흥구 중동 829 A201호, A202호, A203호, A208호 "
3598,바디 컨피던스,20150817,,,13,영업중,"경기도 용인시 기흥구 연원로 52, 201호 (마북동)",경기도 용인시 기흥구 마북동 550-4 201호
3599,JDJ퍼스널트레이닝,20210205,,,13,영업중,"경기도 용인시 기흥구 서천서로20번길 8-4, 1층 (서천동)",경기도 용인시 기흥구 서천동 720-2 
3600,이루어짐,20211016,,,13,영업중,"경기도 용인시 기흥구 한보라2로 5-9, 세진빌딩 3층 (보라동)",경기도 용인시 기흥구 보라동 578-4 세진빌딩 3층 
3601,커브스 보정클럽,20180803,,,13,영업중,"경기도 용인시 기흥구 죽전로 50, 센타프라자 203호 (보정동)",경기도 용인시 기흥구 보정동 1265-2 센타프라자 203호 
3602,어썸플레이(AWESOME PLAY),20200106,,,13,영업중,"경기도 용인시 기흥구 구성3로28번길 16, 우성프라자 2층 203호 (청덕동)",경기도 용인시 기흥구 청덕동 502-7 우성프라자 203호
3603,어썸핏 신봉점,20200609,,,13,영업중,"경기도 용인시 수지구 신봉3로 1, 진성프라자2 603,604호 (신봉동)",경기도 용인시 수지구 신봉동 967 진성프라자2 
3604,WELLS FIT,20180523,,,13,영업중,"경기도 용인시 처인구 명지로40번길 15-15, 501,502,504,505,506호 (역북동)","경기도 용인시 처인구 역북동 755 501,502,504,505,506호 "
3605,M피트니스,20201006,,,13,영업중,"경기도 용인시 처인구 금학로 442-2, 외 1필지 1층~2층 (마평동)","경기도 용인시 처인구 마평동 668-14 ,668-1번지 "
3606,언남 짐머 퍼스널트레이닝 헬스 피티,20161226,,,13,영업중,"경기도 용인시 기흥구 구성로 173, 2층 (언남동)",경기도 용인시 기흥구 언남동 147-8 2층 
3607,더좋은 피트니스,20190213,,,13,영업중,"경기도 용인시 수지구 손곡로 95, 송란빌딩 B01~B02호 (동천동)",경기도 용인시 수지구 동천동 948 
3608,어니스트짐 광교상현점,20190215,,,13,영업중,"경기도 용인시 수지구 광교마을로 134, 광교지웰홈스 A105, A111호 (상현동)",경기도 용인시 수지구 상현동 1137 광교지웰홈스 
3609,522 FIT,20201104,,,13,영업중,"경기도 용인시 기흥구 동백죽전대로 295, 202호 (중동)",경기도 용인시 기흥구 중동 436 202호
3610,아벨필라테스,20181001,,,13,영업중,"경기도 용인시 수지구 현암로 136, 세종프라자 401.402호 (죽전동)",경기도 용인시 수지구 죽전동 1191-1 세종프라자 
3611,탑 남녀헬스 휘트니스클럽,20050827,,,13,영업중,경기도 용인시 처인구 포곡읍 전성로 6,경기도 용인시 처인구 포곡읍 전대리 362-16번지 
3612,더뺌,20210915,,,13,영업중,"경기도 용인시 수지구 죽전로 253-1, 상생프라자 301호 (죽전동)",경기도 용인시 수지구 죽전동 1186-2 상생프라자 
3613,모티브짐,20211006,,,13,영업중,"경기도 용인시 수지구 수지로 119, 데이파크 206호 (성복동)",경기도 용인시 수지구 성복동 70-1 데이파크 
3614,더기프트짐,20181121,,,13,영업중,"경기도 용인시 기흥구 마북로 159, 한성프라자 201호~203호 (마북동)",경기도 용인시 기흥구 마북동 181-2 한성프라자 
3615,데일리 핏,20200915,,,13,영업중,"경기도 용인시 처인구 명지로 24, 용인 더 럭스나인 오피스텔 B1층 (역북동)",경기도 용인시 처인구 역북동 745 용인 더 럭스나인 오피스텔 B1층 
3616,가짐,20190923,,,13,영업중,"경기도 용인시 수지구 성복2로 108-2, 웰스톤갤러리 128.129호 (성복동)",경기도 용인시 수지구 성복동 139 웰스톤갤러리 
3617,PPT짐,20201117,,,13,영업중,"경기도 용인시 처인구 동부로24번길 6-33, 마평원룸 지하1층 (마평동)",경기도 용인시 처인구 마평동 602-7 마평원룸 
3618,Y.3 GYM,20200309,,,13,영업중,"경기도 용인시 기흥구 동백중앙로 269, 동백벤포스타 제1동 302,303호 (중동)","경기도 용인시 기흥구 중동 830-3 동백벤포스타 제1동 302,3호"
3619,더리얼휘트니스,20210929,,,13,영업중,"경기도 용인시 수지구 고기로 115, 301~304호 (동천동)",경기도 용인시 수지구 동천동 114-3 
3620,해와달 그리고 사람들,20190514,,,13,영업중,"경기도 용인시 기흥구 용구대로 2362, 상록마북프라자 204호 (마북동)",경기도 용인시 기흥구 마북동 475-3 상록마북프라자 204호
3621,휘트니스 캠프,20210113,,,13,영업중,"경기도 용인시 기흥구 죽전로 23, 호암프라자 702호 (보정동)",경기도 용인시 기흥구 보정동 1197-3 호암프라자 702호
3622,석세스짐 수지신봉점,20201201,,,13,영업중,"경기도 용인시 수지구 신봉2로14번길 16, 신봉프라자 306~309호 (신봉동)",경기도 용인시 수지구 신봉동 46-3 신봉프라자 
3623,바디업피티,20210114,,,13,영업중,"경기도 용인시 수지구 손곡로 115, 2층 (동천동)",경기도 용인시 수지구 동천동 946-8 
3624,AMG피트니스,20210122,,,13,영업중,"경기도 용인시 기흥구 서천로201번길 11, 기흥 테라타워 지식산업센터 H-L101~105호 (농서동)",경기도 용인시 기흥구 농서동 452 기흥 테라타워 지식산업센터 
3625,지비티(GBT) 학습센터,20200617,,,13,영업중,"경기도 용인시 수지구 수풍로23번길 23, 건영아파트 상가동 지층 B01호 (풍덕천동)",경기도 용인시 수지구 풍덕천동 694 건영아파트 
3626,어스짐,20210903,,,13,영업중,"경기도 용인시 기흥구 동백죽전대로527번길 108, 2층 (중동)",경기도 용인시 기흥구 중동 1110-7 
3627,앨런 PT STUDIO & ANA 필라테스,20200224,,,13,영업중,"경기도 용인시 수지구 현암로 111, 진성프라자 201호 (죽전동)",경기도 용인시 수지구 죽전동 1177-1 진성프라자 
3628,해부학적운동 수지2호점,20200904,,,13,영업중,"경기도 용인시 수지구 신봉2로 60, 웰스톤시티 2동 B105~B106호 (신봉동)",경기도 용인시 수지구 신봉동 925 웰스톤시티 
3629,그로우 짐(Grow Gym),20210419,,,13,영업중,"경기도 용인시 수지구 현암로 139, 동산프라자 401호 (죽전동)",경기도 용인시 수지구 죽전동 1189-2 동산프라자 
3630,슈퍼맥스 트레이닝센터(구갈),20210907,,,13,영업중,"경기도 용인시 기흥구 구갈로60번길 3, 골드프라자 303호 (구갈동)",경기도 용인시 기흥구 구갈동 352-3 골드프라자 303호
3631,글로우짐(2호점),20210907,,,13,영업중,"경기도 용인시 기흥구 신갈로 52, 동인빌딩 3층 302호 (신갈동)",경기도 용인시 기흥구 신갈동 70-9 동인빌딩 3층 302호
3632,청담피트니스,20191007,,,13,영업중,경기도 용인시 처인구 명지로60번길 8-12 (H탑 용인2) 404~406호 (역북동),경기도 용인시 처인구 역북동 759 
3633,피플휘트니스,20200408,,,13,영업중,"경기도 용인시 처인구 중부대로 1329, 2층 (역북동)",경기도 용인시 처인구 역북동 436-9번지 
3634,라인엑스피티스튜디오,20210524,,,13,영업중,"경기도 용인시 수지구 성복2로 114, 신한은행성복점 304호 (성복동)",경기도 용인시 수지구 성복동 129-1 신한은행성복점 
3635,팀베스트 휘트니스 센터,20200429,,,13,영업중,"경기도 용인시 처인구 포곡읍 둔전로47번길 21, 라데팡스 A,B동 301호","경기도 용인시 처인구 포곡읍 둔전리 139-10 A동 301호, B동 301호(일부) "
3636,W PT Studio,20190530,,,13,영업중,"경기도 용인시 기흥구 동백중앙로 358-5, 백현마을모아미래도아파트 상가동 비101호 (동백동)",경기도 용인시 기흥구 동백동 599 백현마을모아미래도아파트 비101호
3637,엠아이짐,20210129,,,13,영업중,"경기도 용인시 기흥구 동백3로11번길 11, 한솔프라자 201,202호 (중동)",경기도 용인시 기흥구 중동 851-1 한솔프라자 
3638,엠비션짐,20210618,,,13,영업중,"경기도 용인시 처인구 남사읍 한숲로58번길 15, 한숲스퀘어 레드 5층 501,502,503호",경기도 용인시 처인구 남사읍 아곡리 699 한숲스퀘어 레드 
3639,하이클래스짐,20210806,,,13,영업중,"경기도 용인시 수지구 동천로113번길 5, 2층 (동천동)",경기도 용인시 수지구 동천동 941-7 
3640,라인 피트니스,20210806,,,13,영업중,"경기도 용인시 기흥구 중부대로746번길 14-4, 4층 (상하동)",경기도 용인시 기흥구 상하동 620-64 
