,사업장명,인허가일자,인허가취소일자,폐업일자,상세영업상태코드,상세영업상태명,도로명주소,지번주소
915,XBAC,2014-12-04,,2019-07-08,3,폐업,서울특별시 동대문구 사가정로 122 (전농동),서울특별시 동대문구 전농동 32-4번지 
916,동아헬스,2008-04-30,,2017-02-03,3,폐업,서울특별시 동대문구 사가정로2길 56  (답십리동),서울특별시 동대문구 답십리동 322-15번지 
917,서울라이트 헬스클럽,2001-01-29,,2003-04-29,3,폐업,서울특별시 동대문구 경동시장로2길 31  (제기동지상3층),서울특별시 동대문구 제기동 635-16번지 지상3층 
918,왕실헬스,2001-02-28,,2005-01-20,3,폐업,서울특별시 동대문구 한천로14길 83  (장안동),서울특별시 동대문구 장안동 376-4번지 
919,오아시스,2003-07-25,,2011-05-18,3,폐업,서울특별시 동대문구 한천로46길 42  (장안동(6층)),서울특별시 동대문구 장안동 94-27번지 (6층) 
920,스타헬스,2012-03-20,,2014-09-26,3,폐업,서울특별시 동대문구 전농로 지하 124 지하1층 (전농동),서울특별시 동대문구 전농동 26-13번지 지하1층 
921,중앙헬스,2011-01-26,,2011-06-24,3,폐업,서울특별시 동대문구 한천로20길 3  (장안동4층),서울특별시 동대문구 장안동 164-11번지 4층 
922,헬스토피아,2008-07-24,,2013-05-30,3,폐업,서울특별시 동대문구 전농로 22  (답십리동),서울특별시 동대문구 답십리동 488-17번지 
923,바디라인 헬스클럽,2004-03-17,,2016-01-05,3,폐업,서울특별시 동대문구 한천로 264 (휘경동주공프라자 5층),서울특별시 동대문구 휘경동 57-1번지 주공프라자 5층 
924,파워헬스,2001-05-03,,2009-06-17,3,폐업,서울특별시 동대문구 이문로 147  (이문동지상4층),서울특별시 동대문구 이문동 257-17번지 지상4층 
925,헬스코리아,2000-11-14,,2003-10-21,3,폐업,서울특별시 동대문구 회기로 201-1  (휘경동1층),서울특별시 동대문구 휘경동 191-18번지 1층 
926,3gym,2014-01-23,,2022-01-03,3,폐업,서울특별시 동대문구 이문로 136 (이문동),서울특별시 동대문구 이문동 292-10 
927,연수휘트니스,2014-07-03,,2020-02-25,3,폐업,서울특별시 동대문구 사가정로 148 (전농동),서울특별시 동대문구 전농동 10번지 
928,찬스짐,2014-07-07,,2016-08-31,3,폐업,서울특별시 동대문구 고산자로 420 (용두동),서울특별시 동대문구 용두동 26-14번지 
929,비엠휘트니스,2003-02-12,,2006-02-27,3,폐업,서울특별시 동대문구 장한로 39  (장안동(2층)),서울특별시 동대문구 장안동 430-18번지 (2층) 
930,파워라인 헬스클럽,2006-07-20,,2010-01-14,3,폐업,서울특별시 동대문구 전농로36길 15-1  (전농동지하1층),서울특별시 동대문구 전농동 103-57번지 지하1층 
931,SM스포월드,2006-07-20,,2009-02-25,3,폐업,서울특별시 동대문구 장한로28가길 45 (장안동),서울특별시 동대문구 장안동 310-8번지 
932,크로스핏 곰,2015-05-18,,2019-03-21,3,폐업,서울특별시 동대문구 천호대로 375 (장안동),서울특별시 동대문구 장안동 414-5번지 
933,중앙헬스,1998-09-14,,2010-12-20,3,폐업,서울특별시 동대문구 한천로20길 3  (장안동),서울특별시 동대문구 장안동 164-11번지 
934,위너짐,2012-11-16,,2019-12-20,3,폐업,서울특별시 동대문구 회기로 191 4층 (휘경동),서울특별시 동대문구 휘경동 191-5번지 
935,현대헬스,2001-04-12,,2005-10-10,3,폐업,서울특별시 동대문구 전농로 5  (답십리동4층),서울특별시 동대문구 답십리동 530-15번지 4층 
936,유니온휘트니스25시,2005-04-14,,2007-04-04,3,폐업,서울특별시 동대문구 장한로 158  (장안동2층),서울특별시 동대문구 장안동 310-4번지 2층 
937,바우하우스,2005-05-10,,2007-02-01,3,폐업,서울특별시 동대문구 답십리로 288  (장안동9층),서울특별시 동대문구 장안동 368-1번지 9층 
938,그레이짐,2011-10-20,,2020-08-12,3,폐업,서울특별시 동대문구 장한로 147 (장안동),서울특별시 동대문구 장안동 306-3 2층 
939,FITNESS K,2012-11-30,,2020-10-29,3,폐업,서울특별시 동대문구 사가정로 136 3층 (전농동),서울특별시 동대문구 전농동 40 
940,휘트니스링크,2003-03-14,,2016-02-12,3,폐업,서울특별시 동대문구 사가정로 150 (전농동(2층)),서울특별시 동대문구 전농동 42-82번지 (2층) 
941,윈&윈헬스장,2009-02-12,,2010-11-11,3,폐업,서울특별시 동대문구 한천로 424 (이문동34층),서울특별시 동대문구 이문동 101-15번지 34층 
942,조이헬스,2009-09-14,,2015-01-01,3,폐업,서울특별시 동대문구 서울시립대로 36 (전농동),서울특별시 동대문구 전농동 647-1번지 5층 
943,아자휘트니스휄스,2006-08-29,,2009-04-03,3,폐업,서울특별시 동대문구 홍릉로 28  (청량리동성일빌딩 5층),서울특별시 동대문구 청량리동 317번지 성일빌딩 5층 
944,머슬 아카데미,2002-08-13,,2019-02-19,3,폐업,서울특별시 동대문구 약령시로21길 30  (청량리동(지하)),서울특별시 동대문구 청량리동 234-2번지 (지하) 
945,위너헬스크럽,2002-11-19,,2012-11-01,3,폐업,서울특별시 동대문구 이문로 116  (이문동(3층)),서울특별시 동대문구 이문동 288-7번지 (3층) 
946,더빠짐(THE BBA ZYM),2014-06-18,,2018-02-02,3,폐업,서울특별시 동대문구 고산자로52길 9 (제기동),서울특별시 동대문구 제기동 120-266번지 
947,해태헬스,1999-07-22,,2008-04-14,3,폐업,서울특별시 동대문구 서울시립대로 36 (전농동2층),서울특별시 동대문구 전농동 647-1번지 2층 
948,삼성헬스크럽,1997-09-01,,2007-02-07,3,폐업,서울특별시 동대문구 장한로 120  (장안동),서울특별시 동대문구 장안동 367-2번지 
949,헬스피아,1997-09-19,,2005-11-16,3,폐업,서울특별시 동대문구 천장산로7길 10-1  (이문동),서울특별시 동대문구 이문동 264-222번지 
950,미나여성휄스,1996-12-03,,2009-06-23,3,폐업,서울특별시 동대문구 이문로 46  (휘경동),서울특별시 동대문구 휘경동 183-243번지 
951,참피온 헬스,1997-03-07,,2005-10-06,3,폐업,서울특별시 동대문구 경희대로3길 2 (회기동),서울특별시 동대문구 회기동 36-26번지 
952,챔프헬스,1996-10-16,,2006-10-23,3,폐업,서울특별시 동대문구 답십리로 150 (답십리동),서울특별시 동대문구 답십리동 246-23번지 
953,그린헬스,1998-11-30,,2018-12-27,3,폐업,서울특별시 동대문구 장한로 130 (장안동(3층)),서울특별시 동대문구 장안동 368-4번지 (3층) 
954,한독헬스크럽,1998-07-10,,2018-12-27,3,폐업,서울특별시 동대문구 무학로 88 (용두동),서울특별시 동대문구 용두동 129-36번지 
955,AMF헬스,1996-04-08,,2011-12-28,3,폐업,서울특별시 동대문구 난계로 250 (신설동),서울특별시 동대문구 신설동 117-6번지 
956,디비휘트니스,2006-09-27,,2007-11-01,3,폐업,서울특별시 동대문구 왕산로 128  (용두동동의보감타워 6층),서울특별시 동대문구 용두동 787번지 동의보감타워 6층 
957,J&J 휘트니스,2006-10-24,,2009-03-24,3,폐업,서울특별시 동대문구 답십리로 150  (답십리동5층),서울특별시 동대문구 답십리동 246-23번지 5층 
958,중앙헬스,1991-03-29,,1999-11-05,3,폐업,서울특별시 동대문구 천호대로85길 32 (장안동),서울특별시 동대문구 장안동 460-1번지 
959,뉴서울헬스클럽,1992-11-06,,2012-09-21,3,폐업,서울특별시 동대문구 장한로5길 17  (장안동),서울특별시 동대문구 장안동 423-2번지 
960,아르테휘트니스,2002-07-04,,2018-12-27,3,폐업,서울특별시 동대문구 회기로 161-3 (회기동(2층)),서울특별시 동대문구 회기동 45-55번지 (2층) 
961,삼성휘트니스클럽,2007-06-22,,2015-11-09,3,폐업,서울특별시 동대문구 전농로 91  (답십리동),서울특별시 동대문구 답십리동 242-3번지 
962,파워라인헬스클럽,2002-02-06,,2004-01-27,3,폐업,,서울특별시 동대문구 휘경동 43-331번지 주공프라자 5층 
963,문화헬스장,2007-03-14,,2007-06-14,3,폐업,,서울특별시 동대문구 휘경동 19-180번지 4층 
964,필라앤핏,2016-05-31,,2020-04-22,3,폐업,서울특별시 동대문구 장한로 96 (장안동),서울특별시 동대문구 장안동 365-8번지 
965,중앙헬스앤휘트니스,2002-06-19,,2012-12-12,3,폐업,,서울특별시 동대문구 이문동 83-0번지 중앙@단지내상가 지층 
