사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
라움피트니스,2022-04-08,,,,,영업/정상,경상남도 진주시 충무공동 284-6,"경상남도 진주시 충의로 20-18, 5층 (충무공동)","경상남도 진주시 충의로 20-18, 5층 (충무공동)",0,,,2022
엠피티랩(m-PT.LAB),2022-04-15,,,,,영업/정상,경상남도 창원시 마산회원구 내서읍 호계리 410,"경상남도 창원시 마산회원구 내서읍 호계본동로 10, 메트로프라자 지하201호","경상남도 창원시 마산회원구 내서읍 호계본동로 10, 메트로프라자 지하201호",0,,,2022
머슬팩토리24 사천본점,2022-04-15,,,,,영업/정상,경상남도 사천시 정동면 고읍리 471-2,"경상남도 사천시 정동면 진삼로 1406-1, 좌측동 1층","경상남도 사천시 정동면 진삼로 1406-1, 좌측동 1층",0,,,2022
올바른헬스,2019-12-10,,,,,영업/정상,경상남도 김해시 삼계동 1512-1번지 302호,"경상남도 김해시 삼계중앙로 66, 302호 (삼계동)","경상남도 김해시 삼계중앙로 66, 302호 (삼계동)",0,,,2019
탠핏휘트니스,2019-12-24,,,,,영업/정상,경상남도 진주시 충무공동 331-3번지,"경상남도 진주시 사들로 52, 4층 (충무공동)","경상남도 진주시 사들로 52, 4층 (충무공동)",0,,,2019
커브스 관동클럽,2019-12-19,,,,,영업/정상,경상남도 김해시 대청동 332-1번지 삼광빌딩,"경상남도 김해시 대청로 125, 삼광빌딩 4층 401~402호 (대청동)","경상남도 김해시 대청로 125, 삼광빌딩 4층 401~402호 (대청동)",0,,,2019
THE CLASSIC FITNESS,2019-12-20,,,,,영업/정상,경상남도 진주시 평거동 927,"경상남도 진주시 순환로 501, 제우스빌딩 5층 (평거동)","경상남도 진주시 순환로 501, 제우스빌딩 5층 (평거동)",0,,,2019
바디스미스,2020-01-06,,,,,영업/정상,경상남도 김해시 내동 1127-2 701호,"경상남도 김해시 경원로55번길 26, 701호 (내동)","경상남도 김해시 경원로55번길 26, 701호 (내동)",0,,,2020
아일랜드 수월점,2019-11-12,,,,,영업/정상,경상남도 거제시 양정동 962-17번지,"경상남도 거제시 수양로 481, 3층 (양정동)","경상남도 거제시 수양로 481, 3층 (양정동)",0,,,2019
라이프스포츠센터(헬스),2019-10-30,,,,,영업/정상,경상남도 김해시 진영읍 진영리 265-1,"경상남도 김해시 진영읍 진영로 132, 4층","경상남도 김해시 진영읍 진영로 132, 4층",0,,,2019
신영사우나헬스,2019-10-30,,,,,영업/정상,경상남도 진주시 평거동 719-1번지,"경상남도 진주시 진양호로125번길 23, 4층 (평거동)","경상남도 진주시 진양호로125번길 23, 4층 (평거동)",0,,,2019
용강헬스사우나,2010-01-07,,,,,영업/정상,경상남도 사천시 벌리동 8-2 용강헬스사우나,"경상남도 사천시 주공로 47, 용강헬스사우나 (벌리동)","경상남도 사천시 주공로 47, 용강헬스사우나 (벌리동)",0,,,2010
피티오라,2022-02-10,,,,,영업/정상,경상남도 김해시 외동 1263-3,"경상남도 김해시 분성로 212, 초이스타워 304,305호 (외동)","경상남도 김해시 분성로 212, 초이스타워 304,305호 (외동)",0,,,2022
BODY CARE GYM,2022-02-22,,,,,영업/정상,경상남도 진주시 충무공동 277-7,"경상남도 진주시 충의로 119, 304호 (충무공동)","경상남도 진주시 충의로 119, 304호 (충무공동)",0,,,2022
PT H(피티에이치),2022-02-10,,,,,영업/정상,경상남도 양산시 물금읍 가촌리 1296-1,"경상남도 양산시 물금읍 증산역로 135, 3층 305호","경상남도 양산시 물금읍 증산역로 135, 3층 305호",0,,,2022
리즈밸짐,2022-01-28,,,,,영업/정상,경상남도 김해시 삼방동 174-2,"경상남도 김해시 삼안로217번길 31, 2층 (삼방동)","경상남도 김해시 삼안로217번길 31, 2층 (삼방동)",0,,,2022
참짐헬스장 부원점,2022-01-28,,,,,영업/정상,경상남도 김해시 부원동 1041 롯데마트,"경상남도 김해시 김해대로 2330, 롯데마트 3층 (부원동)","경상남도 김해시 김해대로 2330, 롯데마트 3층 (부원동)",0,,,2022
빅스짐 삼계점,2022-03-30,,,,,영업/정상,경상남도 김해시 삼계동 1488-7,"경상남도 김해시 삼계중앙로 49, 3층 (삼계동)","경상남도 김해시 삼계중앙로 49, 3층 (삼계동)",0,,,2022
웰피티(Well Pt),2022-04-04,,,,,영업/정상,경상남도 통영시 광도면 죽림리 1572-46,경상남도 통영시 광도면 죽림해안로 90,경상남도 통영시 광도면 죽림해안로 90,0,,,2022
도원 휘트니스,2022-03-14,,,,,영업/정상,경상남도 김해시 주촌면 선지리 1479-6,"경상남도 김해시 주촌면 선천남로 41, 201,202호","경상남도 김해시 주촌면 선천남로 41, 201,202호",0,,,2022
어스핏 마산회원점,2022-02-23,,,,,영업/정상,경상남도 창원시 마산회원구 회원동 50-1 201호,"경상남도 창원시 마산회원구 북성로 146, 201호 (회원동)","경상남도 창원시 마산회원구 북성로 146, 201호 (회원동)",0,,,2022
404피트니스,2022-02-23,,,,,영업/정상,경상남도 창원시 진해구 용원동 1217-1,"경상남도 창원시 진해구 용원서로 44, 재경빌딩 6층 (용원동)","경상남도 창원시 진해구 용원서로 44, 재경빌딩 6층 (용원동)",0,,,2022
바디채널 삼계점,2022-02-03,,,,,영업/정상,경상남도 창원시 마산회원구 내서읍 삼계리 27-1 삼계스포렉스 빌딩,"경상남도 창원시 마산회원구 내서읍 삼계로 6, 삼계스포렉스 빌딩 5층","경상남도 창원시 마산회원구 내서읍 삼계로 6, 삼계스포렉스 빌딩 5층",0,,,2022
