사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
마라톤헬스,2004-03-10,,,,20100331.0,취소/말소/만료/정지/중지,광주광역시 서구 금호동 762-1번지,광주광역시 서구 운천로 15  (금호동),광주광역시 서구 운천로 15  (금호동),1,2010-03-31,2010,2004
세정휘트니스클럽,2005-01-17,,,,20100305.0,취소/말소/만료/정지/중지,광주광역시 서구 치평동 1326번지,광주광역시 서구 상무대로 773  (치평동),광주광역시 서구 상무대로 773  (치평동),1,2010-03-05,2010,2005
파워헬스,2005-12-02,,,,20190819.0,취소/말소/만료/정지/중지,광주광역시 서구 쌍촌동 275-4번지,광주광역시 서구 월드컵4강로 239 (쌍촌동),광주광역시 서구 월드컵4강로 239 (쌍촌동),1,2019-08-19,2019,2005
천지연 헬스,2007-06-08,,,,20180306.0,취소/말소/만료/정지/중지,광주광역시 서구 치평동 1185번지 지하1층,"광주광역시 서구 치평로 106, 지하1층 (치평동)","광주광역시 서구 치평로 106, 지하1층 (치평동)",1,2018-03-06,2018,2007
드림휘트니스,2007-11-30,,,,20180212.0,취소/말소/만료/정지/중지,광주광역시 서구 풍암동 1119-2번지,광주광역시 서구 풍암2로 12 (풍암동),광주광역시 서구 풍암2로 12 (풍암동),1,2018-02-12,2018,2007
바디큐어,2013-08-19,,,,20180212.0,취소/말소/만료/정지/중지,광주광역시 서구 치평동 1178-2번지 4층,"광주광역시 서구 상무중앙로 35 (치평동, 4층)","광주광역시 서구 상무중앙로 35 (치평동, 4층)",1,2018-02-12,2018,2013
44피트클럽,2015-06-08,,,,20170206.0,폐업,광주광역시 북구 용봉동 1234-2번지,광주광역시 북구 반룡로27번길 18 (용봉동),광주광역시 북구 반룡로27번길 18 (용봉동),1,2017-02-06,2017,2015
태권도 액션스쿨,2011-09-09,,,,20151015.0,폐업,광주광역시 북구 본촌동 3004-1번지,,광주광역시 북구 본촌동 3004-1번지,1,2015-10-15,2015,2011
자이태권도장,2011-09-22,,,,20220401.0,폐업,광주광역시 북구 신용동 542-21,"광주광역시 북구 임방울대로 1020, 2층 (신용동)","광주광역시 북구 임방울대로 1020, 2층 (신용동)",1,2022-04-01,2022,2011
MK트레이닝센터,2011-10-07,,,,20140213.0,폐업,광주광역시 북구 일곡동 814-1번지,광주광역시 북구 소해로 94  (일곡동),광주광역시 북구 소해로 94  (일곡동),1,2014-02-13,2014,2011
TGY 피지컬 센터,2011-10-12,,,,20141202.0,폐업,광주광역시 북구 양산동 729번지,광주광역시 북구 양산택지로51번길 2  (양산동),광주광역시 북구 양산택지로51번길 2  (양산동),1,2014-12-02,2014,2011
광주헬스체육관,1990-07-30,,,,20040103.0,폐업,광주광역시 북구 유동 106-1번지 (3층),,광주광역시 북구 유동 106-1번지 (3층),1,2004-01-03,2004,1990
새로와헬스클럽,1994-12-06,,,,20040103.0,폐업,광주광역시 북구 용봉동 1228-21번지 (4층),"광주광역시 북구 반룡로27번길 29  (용봉동,(4층))","광주광역시 북구 반룡로27번길 29  (용봉동,(4층))",1,2004-01-03,2004,1994
프리업헬스체육관,1995-05-08,,,,20080418.0,폐업,광주광역시 북구 문흥동 999-5번지,광주광역시 북구 서하로 389  (문흥동),광주광역시 북구 서하로 389  (문흥동),1,2008-04-18,2008,1995
파워존헬스케어,1998-03-27,,,,20080529.0,폐업,광주광역시 북구 오치동 856-1번지,광주광역시 북구 설죽로370번길 32  (오치동),광주광역시 북구 설죽로370번길 32  (오치동),1,2008-05-29,2008,1998
조아짐트레이닝센터,2019-07-22,,,,20220727.0,폐업,광주광역시 남구 봉선동 465-3,"광주광역시 남구 봉선2로 53, 5층 (봉선동)","광주광역시 남구 봉선2로 53, 5층 (봉선동)",1,2022-07-27,2022,2019
동부헬스,1989-11-22,,,,20171221.0,폐업,광주광역시 동구 계림동 548-11번지 4층,광주광역시 동구 무등로321번길 20-24 (계림동),광주광역시 동구 무등로321번길 20-24 (계림동),1,2017-12-21,2017,1989
모아남여헬스,1992-07-20,,,,20060803.0,폐업,광주광역시 동구 계림동 519-8번지,광주광역시 동구 무등로 406-1  (계림동),광주광역시 동구 무등로 406-1  (계림동),1,2006-08-03,2006,1992
도강헬스체육관,1994-01-11,,,,20041229.0,폐업,광주광역시 동구 계림동 843번지,광주광역시 동구 무등로304번길 8  (계림동),광주광역시 동구 무등로304번길 8  (계림동),1,2004-12-29,2004,1994
멕스포헬스,1996-12-05,,,,20141230.0,폐업,광주광역시 동구 광산동 79번지,광주광역시 동구 서석로 40  (광산동),광주광역시 동구 서석로 40  (광산동),1,2014-12-30,2014,1996
월드헬스,1997-05-27,,,,20191122.0,폐업,광주광역시 동구 학동 904-67번지,광주광역시 동구 천변우로 539 (학동),광주광역시 동구 천변우로 539 (학동),1,2019-11-22,2019,1997
김지환휘트니스,1998-06-08,,,,20090506.0,폐업,광주광역시 동구 충장로3가 21-5번지,광주광역시 동구 충장로 76  (충장로3가),광주광역시 동구 충장로 76  (충장로3가),1,2009-05-06,2009,1998
로데오스포츠클럽(시등록),1998-09-08,,,,20091126.0,폐업,광주광역시 동구 계림동 485-43번지,광주광역시 동구 구성로 257  (계림동),광주광역시 동구 구성로 257  (계림동),1,2009-11-26,2009,1998
코아휘트니스클럽,2001-07-04,,,,20190806.0,폐업,광주광역시 동구 금남로2가 7-11번지,,광주광역시 동구 금남로2가 7-11번지,1,2019-08-06,2019,2001
한국헬스센터,2001-08-24,,,,20210614.0,폐업,광주광역시 동구 서석동 31-9,광주광역시 동구 제봉로82번길 16 (서석동),광주광역시 동구 제봉로82번길 16 (서석동),1,2021-06-14,2021,2001
산수헬스타운,1996-12-19,,,,20110429.0,폐업,광주광역시 동구 산수동 555-33번지,광주광역시 동구 필문대로 188  (산수동),광주광역시 동구 필문대로 188  (산수동),1,2011-04-29,2011,1996
현대스포렉스(시등록),1996-09-11,,,,20021228.0,폐업,광주광역시 동구 학동 750번지,광주광역시 동구 남문로 686  (학동),광주광역시 동구 남문로 686  (학동),1,2002-12-28,2002,1996
정도헬스,2001-11-29,,,,20041222.0,폐업,광주광역시 동구 학동 633-3번지,광주광역시 동구 남문로753번길 7  (학동),광주광역시 동구 남문로753번길 7  (학동),1,2004-12-22,2004,2001
헬스라인,2001-11-29,,,,20170209.0,폐업,광주광역시 동구 운림동 654번지 라인아파트 2차 상가 201호,"광주광역시 동구 의재로 149-7, 상가동 201호 (운림동, 라인2차아파트)","광주광역시 동구 의재로 149-7, 상가동 201호 (운림동, 라인2차아파트)",1,2017-02-09,2017,2001
멕스포 투,2006-01-03,,,,20090925.0,폐업,광주광역시 동구 학동 750-74번지 4층,"광주광역시 동구 남문로 674  (학동,4층)","광주광역시 동구 남문로 674  (학동,4층)",1,2009-09-25,2009,2006
로데오스포츠,2007-02-27,,,,20091103.0,폐업,광주광역시 동구 계림동 485-43번지 (8층),"광주광역시 동구 구성로 257  (계림동,(8층))","광주광역시 동구 구성로 257  (계림동,(8층))",1,2009-11-03,2009,2007
궁전 헬스,2008-07-25,,,,20140120.0,폐업,광주광역시 동구 금남로5가 1-5번지 5층,"광주광역시 동구 독립로264번길 12  (금남로5가,5층)","광주광역시 동구 독립로264번길 12  (금남로5가,5층)",1,2014-01-20,2014,2008
캘리포니아헬스,2009-09-28,,,,20220831.0,폐업,광주광역시 동구 학동 750-77 4층,광주광역시 동구 남문로 666 (학동),광주광역시 동구 남문로 666 (학동),1,2022-08-31,2022,2009
GJ광주그린,2010-04-19,,,,20140218.0,폐업,광주광역시 동구 수기동 33-2번지 3층,"광주광역시 동구 구성로 145, 3층 (수기동)","광주광역시 동구 구성로 145, 3층 (수기동)",1,2014-02-18,2014,2010
