사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
웰빙휘트니스골프클럽,2009-01-15,,,,20200227.0,폐업,경상북도 구미시 옥계동 834-4번지 메디파크 10층,"경상북도 구미시 산호대로31길 15, 10층 (옥계동, 메디파크)","경상북도 구미시 산호대로31길 15, 10층 (옥계동, 메디파크)",1,2020-02-27,2020,2009
점프 휘트니스,2009-07-02,,,,20190830.0,폐업,경상북도 구미시 상모동 36-2번지 3층,"경상북도 구미시 상사서로 49, 3층 (상모동)","경상북도 구미시 상사서로 49, 3층 (상모동)",1,2019-08-30,2019,2009
인동스포렉스,2012-06-08,,,,20200227.0,폐업,경상북도 구미시 황상동 308-1번지 2층 A동,"경상북도 구미시 인동중앙로 23-3, A동 2층 (황상동)","경상북도 구미시 인동중앙로 23-3, A동 2층 (황상동)",1,2020-02-27,2020,2012
J스포렉스,2015-06-16,,,,20190424.0,폐업,경상북도 구미시 남통동 150-1번지 파크비지니스관광호텔,"경상북도 구미시 금오산로 217-16, 파크비지니스관광호텔 (남통동)","경상북도 구미시 금오산로 217-16, 파크비지니스관광호텔 (남통동)",1,2019-04-24,2019,2015
팀리,2015-09-30,,,,20151215.0,폐업,경상북도 구미시 봉곡동 301-6번지,"경상북도 구미시 봉곡남로 103, 1층 (봉곡동)","경상북도 구미시 봉곡남로 103, 1층 (봉곡동)",1,2015-12-15,2015,2015
클린바디,2015-11-23,,,,20221021.0,폐업,경상북도 구미시 옥계동 870-1,"경상북도 구미시 옥계남로 76-20, 3,4층 (옥계동)","경상북도 구미시 옥계남로 76-20, 3,4층 (옥계동)",1,2022-10-21,2022,2015
리얼짐 도량2호점,2016-02-19,,,,20190313.0,폐업,경상북도 구미시 도량동 228-2번지,"경상북도 구미시 야은로 299, 7층 (도량동)","경상북도 구미시 야은로 299, 7층 (도량동)",1,2019-03-13,2019,2016
커브스 옥계클럽,2016-02-29,,,,20190611.0,폐업,경상북도 구미시 옥계동 834-2번지,"경상북도 구미시 옥계북로 40, 6층 602호 (옥계동, 청구타워)","경상북도 구미시 옥계북로 40, 6층 602호 (옥계동, 청구타워)",1,2019-06-11,2019,2016
새재스파렉스헬스장,2007-05-29,,,,20120112.0,폐업,경상북도 상주시 함창읍 윤직리 590-41번지,경상북도 상주시 함창읍 경서로 8-8,경상북도 상주시 함창읍 경서로 8-8,1,2012-01-12,2012,2007
한일헬스클럽,2003-02-18,,,,20050105.0,폐업,경상북도 의성군 의성읍 후죽리 541-3번지,경상북도 의성군 의성읍 중앙길 83,경상북도 의성군 의성읍 중앙길 83,1,2005-01-05,2005,2003
안계일성스포츠센타,2003-02-18,,,,20050120.0,폐업,경상북도 의성군 안계면 용기리 851-7번지,경상북도 의성군 안계면 안계길 165,경상북도 의성군 안계면 안계길 165,1,2005-01-20,2005,2003
경주헬스클럽,2001-07-16,,,,20050407.0,폐업,경상북도 경주시 성건동 644-10번지,경상북도 경주시 봉황로 139  (성건동),경상북도 경주시 봉황로 139  (성건동),1,2005-04-07,2005,2001
파워헬스,2000-06-27,,,,20070222.0,폐업,경상북도 경주시 황성동 473-13번지,경상북도 경주시 황성로 34-9  (황성동),경상북도 경주시 황성로 34-9  (황성동),1,2007-02-22,2007,2000
먼로헬스클럽,2000-10-11,,,,20070620.0,폐업,경상북도 경주시 황오동 233-11번지,경상북도 경주시 원효로 123  (황오동),경상북도 경주시 원효로 123  (황오동),1,2007-06-20,2007,2000
코리아스포츠헬스클럽,2002-03-26,,,,20061130.0,폐업,경상북도 경주시 동천동 904번지,경상북도 경주시 초당길137번길 20  (동천동),경상북도 경주시 초당길137번길 20  (동천동),1,2006-11-30,2006,2002
로얄헬스,2002-06-26,,,,20180706.0,폐업,경상북도 경주시 성건동 645-2번지,경상북도 경주시 금성로 380 (성건동),경상북도 경주시 금성로 380 (성건동),1,2018-07-06,2018,2002
JOA GYM,2014-12-23,,,,20210916.0,폐업,경상북도 문경시 모전동 860-14,"경상북도 문경시 모전로 61, 2층 (모전동)","경상북도 문경시 모전로 61, 2층 (모전동)",1,2021-09-16,2021,2014
멋짐,2017-09-29,,,,20191231.0,폐업,경상북도 문경시 점촌동 246-16,경상북도 문경시 중앙로 117-15 (점촌동),경상북도 문경시 중앙로 117-15 (점촌동),1,2019-12-31,2019,2017
Crown Gym,2017-11-01,,,,20190618.0,폐업,경상북도 문경시 모전동 864-8번지 브리티시골드 303호,"경상북도 문경시 당교로 231, 3층 303호 (모전동, 브리티시골드)","경상북도 문경시 당교로 231, 3층 303호 (모전동, 브리티시골드)",1,2019-06-18,2019,2017
럭키육체미학원,1990-01-20,,,,20101026.0,폐업,경상북도 영주시 하망동 341-12번지,경상북도 영주시 중앙로 106  (하망동),경상북도 영주시 중앙로 106  (하망동),1,2010-10-26,2010,1990
코리아육체미체육관,1993-10-15,,,,20111108.0,폐업,경상북도 영주시 휴천동 642-1161번지,경상북도 영주시 지천로 102  (휴천동),경상북도 영주시 지천로 102  (휴천동),1,2011-11-08,2011,1993
