사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
애플 스포츠,2009-02-27,,,,20131210.0,폐업,경기도 용인시 기흥구 보라동 578-6번지 501호,"경기도 용인시 기흥구 사은로 56,  501호 (보라동)","경기도 용인시 기흥구 사은로 56,  501호 (보라동)",1,2013-12-10,2013,2009
하이짐 단대점,2009-05-15,,,,20190416.0,폐업,경기도 용인시 수지구 죽전동 1342-2번지 WHITEZONE,"경기도 용인시 수지구 죽전로 164, WHITEZONE 301~302, 401~402호 (죽전동)","경기도 용인시 수지구 죽전로 164, WHITEZONE 301~302, 401~402호 (죽전동)",1,2019-04-16,2019,2009
메르시 휘트니스,2009-09-09,,,,20100723.0,폐업,경기도 용인시 기흥구 보정동 1195-2번지 2층호,"경기도 용인시 기흥구 죽전로 7,  2층호 (보정동)","경기도 용인시 기흥구 죽전로 7,  2층호 (보정동)",1,2010-07-23,2010,2009
유앤아이,2014-12-29,,,,20190117.0,폐업,경기도 용인시 수지구 풍덕천동,"경기도 용인시 수지구 풍덕천로129번길 15, 3층 (풍덕천동)","경기도 용인시 수지구 풍덕천로129번길 15, 3층 (풍덕천동)",1,2019-01-17,2019,2014
아놀드홍짐죽전점,2015-03-02,,,,20200319.0,폐업,경기도 용인시 수지구 죽전동 1177-1번지 601호,"경기도 용인시 수지구 현암로 111, 601호 (죽전동)","경기도 용인시 수지구 현암로 111, 601호 (죽전동)",1,2020-03-19,2020,2015
크로스핏치우죽전,2015-03-24,,,,20200814.0,폐업,경기도 용인시 수지구 죽전동 876,경기도 용인시 수지구 용구대로 2779 (죽전동),경기도 용인시 수지구 용구대로 2779 (죽전동),1,2020-08-14,2020,2015
JH트레이닝센터,2015-03-26,,,,20191227.0,폐업,경기도 용인시 처인구 역북동 436-6번지 2층,"경기도 용인시 처인구 중부대로 1325, 2층 (역북동)","경기도 용인시 처인구 중부대로 1325, 2층 (역북동)",1,2019-12-27,2019,2015
GF 휘트니스,2011-07-13,,,,20161129.0,폐업,"경기도 용인시 수지구 상현동 251번지 외2필지 SR프라자 지하1층(B101, B102, B104호)","경기도 용인시 수지구 만현로 120 (상현동,외2필지 SR프라자 지하1층(B101, B102, B104호))","경기도 용인시 수지구 만현로 120 (상현동,외2필지 SR프라자 지하1층(B101, B102, B104호))",1,2016-11-29,2016,2011
TEAM-A GYM,2016-04-29,,,,20210830.0,폐업,경기도 용인시 기흥구 구갈동 352-303,"경기도 용인시 기흥구 구갈로60번길 3, 303호 (구갈동, 골드프라자)","경기도 용인시 기흥구 구갈로60번길 3, 303호 (구갈동, 골드프라자)",1,2021-08-30,2021,2016
레인보우헬쓰다이어트클럽,2001-02-01,,,,20040917.0,폐업,경기도 안양시 만안구 박달동 157-26번지 3층,"경기도 안양시 만안구 박달로 430  (박달동,3층)","경기도 안양시 만안구 박달로 430  (박달동,3층)",1,2004-09-17,2004,2001
파워여성헬스,2001-09-20,,,,20070820.0,폐업,경기도 안양시 만안구 안양동 995-4번지 4층,"경기도 안양시 만안구 병목안로130번길 4  (안양동,4층)","경기도 안양시 만안구 병목안로130번길 4  (안양동,4층)",1,2007-08-20,2007,2001
파워라인헬스,2001-04-30,,,,20050601.0,폐업,경기도 안양시 동안구 호계동 859-15번지,경기도 안양시 동안구 포도원로 12  (호계동),경기도 안양시 동안구 포도원로 12  (호계동),1,2005-06-01,2005,2001
백일 헬스,2001-07-27,,,,20060816.0,폐업,경기도 안양시 동안구 비산동 554-9번지,경기도 안양시 동안구 비산로 21  (비산동),경기도 안양시 동안구 비산로 21  (비산동),1,2006-08-16,2006,2001
아이언짐 휘트니스,2009-09-23,,,,20140127.0,폐업,경기도 용인시 기흥구 보라동 573-2번지 3층호,"경기도 용인시 기흥구 한보라1로10번길 6-10, 3층호 (보라동)","경기도 용인시 기흥구 한보라1로10번길 6-10, 3층호 (보라동)",1,2014-01-27,2014,2009
더그릿짐,2015-06-23,,,,20201230.0,폐업,경기도 용인시 수지구 상현동 1116-1,"경기도 용인시 수지구 광교중앙로295번길 21, 303호~306호 (상현동)","경기도 용인시 수지구 광교중앙로295번길 21, 303호~306호 (상현동)",1,2020-12-30,2020,2015
