사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
그랑프라자헬스BANK,2002-12-27,,,,20080124.0,폐업,부산광역시 사하구 장림동 317-9번지 그랑프라자 901호,"부산광역시 사하구 장림번영로 59,  901호 (장림동,그랑프라자)","부산광역시 사하구 장림번영로 59,  901호 (장림동,그랑프라자)",1,2008-01-24,2008,2002
대성헬스클럽,2002-05-03,,,,20041206.0,폐업,부산광역시 사하구 괴정동 477-28번지,부산광역시 사하구 사하로 156-1  (괴정동),부산광역시 사하구 사하로 156-1  (괴정동),1,2004-12-06,2004,2002
라브스포티앙,2002-12-27,,,,20100709.0,폐업,부산광역시 사하구 다대동 1573번지,부산광역시 사하구 다송로72번길 82  (다대동),부산광역시 사하구 다송로72번길 82  (다대동),1,2010-07-09,2010,2002
오렌지휘트니스크럽 ⇒ 오렌지휘트니스클럽,2002-04-18,,,,20160322.0,폐업,부산광역시 사하구 장림동 316-8번지,부산광역시 사하구 장림번영로 93 (장림동),부산광역시 사하구 장림번영로 93 (장림동),1,2016-03-22,2016,2002
코리아헬스,2003-04-04,,,,20071009.0,폐업,부산광역시 사하구 하단동 1161-2번지 가락타운 145동 상가306호,"부산광역시 사하구 하신번영로 365, 145동 상가306호 (하단동,가락타운)","부산광역시 사하구 하신번영로 365, 145동 상가306호 (하단동,가락타운)",1,2007-10-09,2007,2003
티죤스포츠헬스,2003-01-04,,,,20050105.0,폐업,부산광역시 사하구 하단동 492-2번지 대우에덴프라자 B2호,"부산광역시 사하구 낙동대로 542,  B2호 (하단동,대우에덴프라자)","부산광역시 사하구 낙동대로 542,  B2호 (하단동,대우에덴프라자)",1,2005-01-05,2005,2003
OK 헬스,2002-06-19,,,,20111116.0,폐업,부산광역시 사하구 다대동 1552-5번지 석광빌딩 6층,"부산광역시 사하구 다대로 694-2  (다대동,석광빌딩 6층)","부산광역시 사하구 다대로 694-2  (다대동,석광빌딩 6층)",1,2011-11-16,2011,2002
TOP헬스크럽,2002-08-06,,,,20101101.0,폐업,부산광역시 사하구 괴정동 939-5번지,부산광역시 사하구 낙동대로 227  (괴정동),부산광역시 사하구 낙동대로 227  (괴정동),1,2010-11-01,2010,2002
문석경보디빌딩체력관,2003-01-13,,,,20100106.0,폐업,부산광역시 사하구 신평동 84-98번지 4층,"부산광역시 사하구 신산로 195  (신평동,4층)","부산광역시 사하구 신산로 195  (신평동,4층)",1,2010-01-06,2010,2003
빅월드헬스,2003-01-20,,,,20050315.0,폐업,부산광역시 사하구 장림동 380-2번지,부산광역시 사하구 다대로 317  (장림동),부산광역시 사하구 다대로 317  (장림동),1,2005-03-15,2005,2003
현대탕,2003-01-11,,,,20160118.0,폐업,부산광역시 사하구 신평동 400번지,부산광역시 사하구 하신중앙로 170 (신평동),부산광역시 사하구 하신중앙로 170 (신평동),1,2016-01-18,2016,2003
항도헬스클럽,2005-06-27,,,,20081229.0,폐업,"부산광역시 부산진구 부전동 205-1번지 4,5층","부산광역시 부산진구 중앙대로692번길 22  (부전동,4,5층)","부산광역시 부산진구 중앙대로692번길 22  (부전동,4,5층)",1,2008-12-29,2008,2005
