,사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,도로명전체주소
46,강남PT,20160720,,,,,영업/정상,"경상북도 칠곡군 석적읍 남율로2길 1, 3층"
47,엑스로즈 헬스클럽,20070817,,,,,영업/정상,경상북도 칠곡군 석적읍 석적로 955-19
48,교육문화회관 체력단련장,20100517,,,,,영업/정상,경상북도 칠곡군 왜관읍 관문로1길 32
49,북삼온천 하이힐,20050329,,,,,영업/정상,경상북도 칠곡군 북삼읍 인강5길 75
50,왜관온천웰스파,20050929,,,,,영업/정상,경상북도 칠곡군 왜관읍 군청2길 21
51,경북헬스뱅크,20010625,,,,,영업/정상,경상북도 칠곡군 약목면 관호8길 5
52,천호헬스피아,20020128,,,,,영업/정상,경상북도 칠곡군 석적읍 북중리11길 23
53,YB P.T GYM,20161122,,,,,영업/정상,"경상북도 울진군 울진읍 읍내로 70, 명지렉스빌 301호"
54,장강건강헬스,20060119,,,,,영업/정상,
55,금빛 물조은 온천(금빛 휘트니스),20180329,,,,,영업/정상,"경상북도 예천군 호명면 새움3로 6, 골드온천타워  9층"
56,용인대석사백호헬스클럽,19990906,,,,,영업/정상,경상북도 예천군 예천읍 봉덕로 18
57,호림헬스피아,20040706,,,,,영업/정상,"경상북도 예천군 예천읍 한천길 54, 남해화학비료예천대리점"
58,광일휘트니스클럽,20131001,,,,,영업/정상,경상북도 예천군 예천읍 효자로 50
59,대신 스포랜드,20041201,,,,,영업/정상,경상북도 경주시 소금강로29번길 17 (용강동)
60,동광토탈휘트니스,20050104,,,,,영업/정상,경상북도 경주시 봉황로 125 (성건동)
61,용강스파휘트니스 헬스클럽,20051125,,,,,영업/정상,"경상북도 경주시 다불로 33, 3층 (용강동)"
62,북삼헬스,20180521,,,,,영업/정상,"경상북도 칠곡군 북삼읍 금오대로 265-1, 세림빌딩 4층"
63,남해라이프짐&휘트니스,20061128,,,,,영업/정상,경상남도 남해군 남해읍 망운로19번길 39
64,청호헬스,20110920,,,,,영업/정상,"경상남도 김해시 활천로285번길 3 (삼방동, 4층)"
65,건강해GYM,20160407,,,,,영업/정상,경상남도 김해시 호계로 419 (부원동)
66,에이스 휘트니스,20131108,,,,,영업/정상,"경상남도 김해시 내외중앙로 53, 801호 (내동, 중앙프라자)"
67,에너지플러스,20050503,,,,,영업/정상,"경상남도 김해시 분성로627번길 10, 지하1층 (안동)"
68,굿모닝 헬스,20051028,,,,,영업/정상,"경상남도 김해시 장유로222번길 7, 5층 (부곡동)"
69,코아헬스,20061213,,,,,영업/정상,경상남도 김해시 인제로200번길 6 (어방동)
70,마스터짐,20070503,,,,,영업/정상,경상남도 김해시 진영읍 김해대로361번길 2 (그랜드프라자 9층전체)
71,영오헬스,20071116,,,,,영업/정상,경상남도 김해시 내외중앙로 105 (내동)
72,청암헬스,20081016,,,,,영업/정상,경상남도 김해시 분성로336번길 22-1 (부원동)
73,지엑스월드,20100309,,,,,영업/정상,"경상남도 김해시 번화1로68번길 19, 301호 (대청동, 엔플러스투빌딩)"
74,율하 휘트니스,20100520,,,,,영업/정상,"경상남도 김해시 율하3로 22, 5층 (율하동)"
75,고려태권도장,20100531,,,,,영업/정상,"경상남도 김해시 월산로 111-43, 드림피아상가 501호 (부곡동)"
76,커브스 삼문클럽,20110520,,,,,영업/정상,"경상남도 김해시 능동로149번길 8, 203-204호 (부곡동, 일진프라자)"
77,커브스내외클럽,20110712,,,,,영업/정상,"경상남도 김해시 함박로101번길 2 (외동, 안뜨레빌딩 402호)"
78,커브스삼계클럽,20110818,,,,,영업/정상,"경상남도 김해시 해반천로168번길 38 (삼계동, 청보빌딩 2층)"
79,M.O.M운동센터,20120424,,,,,영업/정상,"경상남도 김해시 구지로 26, 301호 (내동, 성보빌딩)"
80,장유스파랜드 헬스장,20121121,,,,,영업/정상,경상남도 김해시 대청로104번길 84 (삼문동)
81,커브스율하클럽,20121127,,,,,영업/정상,"경상남도 김해시 율하3로 45, 801호 (율하동, 유성프라자)"
82,더스피닝,20130821,,,,,영업/정상,"경상남도 김해시 인제로188번길 6, 601호, 701호 (어방동, 힐튼상가)"
83,스마트PT,20151127,,,,,영업/정상,"전라북도 완주군 이서면 기지로 37, 402호 (청담빌딩)"
84,베스트클럽,20160307,,,,,영업/정상,"전라북도 완주군 이서면 기지로 51, 2층"
85,FITNESS815,20160530,,,,,영업/정상,"전라북도 완주군 이서면 오공로 11-28, 6층"
86,바디킹콩,20120223,,,,,영업/정상,전라북도 전주시 완산구 팔달로 202-16 (경원동3가)
87,서곡휘트니스,20120330,,,,,영업/정상,전라북도 전주시 완산구 천잠로 506 (효자동3가)
88,Y.GYM,20120424,,,,,영업/정상,"전라북도 전주시 완산구 당산로 50 (서신동,지하1층)"
89,건승체련관,20020206,,,,,영업/정상,"전라북도 무주군 무주읍 최북로 28, 전통건강체험관"
90,굿모닝헬쓰클럽,20110408,,,,,영업/정상,전라북도 완주군 봉동읍 완주산단9로 15
91,PT 히어로,20140703,,,,,영업/정상,전라북도 완주군 봉동읍 원둔산1길 11
92,하가 휘트니스,20121101,,,,,영업/정상,전라북도 전주시 덕진구 가련산로 10 (덕진동2가)
93,에스 바디 디자인 헬스클럽,20130103,,,,,영업/정상,전라북도 전주시 완산구 서원로 297 (중화산동2가)
94,힐링 휘트니스,20130621,,,,,영업/정상,전라북도 전주시 덕진구 한배미로 74 (우아동1가)
95,JS 휘트니스 클럽,20130820,,,,,영업/정상,전라북도 전주시 완산구 용리로 56 (삼천동1가)
96,오송휘트니스,20140224,,,,,영업/정상,전라북도 전주시 덕진구 천마산로 73 (송천동2가)
97,토탈헬스,20030114,,,,,영업/정상,전라북도 전주시 완산구 신촌3길 15 (중화산동2가)
98,바디채널(전주평화점),20030331,,,,,영업/정상,"전라북도 전주시 완산구 모악로 4678 (평화동2가,7층)"
99,메가월드스파,20041213,,,,,영업/정상,전라북도 전주시 덕진구 동부대로 1229 (송천동2가)
100,티파니 힐,20050114,,,,,영업/정상,"전라북도 전주시 완산구 백제대로 20 (평화동1가,2층)"
101,코뿔소남여헬스,19961207,,,,,영업/정상,전라북도 전주시 덕진구 백제대로 676 (금암동)
102,헤라휘트니스,20030723,,,,,영업/정상,전라북도 전주시 완산구 공수내로 9 (서서학동)
103,바벨과 사람 헬스클럽,20030707,,,,,영업/정상,전라북도 전주시 덕진구 견훤로 209 (인후동1가)
104,고려휘트니스클럽,20040119,,,,,영업/정상,전라북도 전주시 덕진구 안덕원로 378 (산정동)
105,(유)대해스포츠센터,20040211,,,,,영업/정상,전라북도 전주시 덕진구 인교로 65 (우아동1가)
106,세진휘트니스,20040917,,,,,영업/정상,전라북도 전주시 덕진구 모래내7길 8 (인후동2가)
107,제이짐헬스(휘트니스),20111201,,,,,영업/정상,전라북도 전주시 덕진구 석소로 88 (우아동2가)
108,S라인 다이어트워,20120109,,,,,영업/정상,전라북도 전주시 덕진구 안덕원로 266 (인후동1가)
109,이루다피트니스,20161223,,,,,영업/정상,전라북도 완주군 삼례읍 삼례로 397 (진영빌딩)
110,더멋짐,20170427,,,,,영업/정상,전라북도 완주군 이서면 안전로 153
111,미스터홍헬스타운,20030205,,,,,영업/정상,전라북도 고창군 고창읍 중앙로 274
112,홀론 휘트니스,20120203,,,,,영업/정상,전라북도 고창군 고창읍 석정2로 173 (석정휴스파)
113,우성 에프엔비 휘트니스,20170406,,,,,영업/정상,전라북도 고창군 고창읍 중앙로 232 (우성회관)
114,메이크 잇 짐 성정점,20160530,,,,,영업/정상,"충청남도 천안시 서북구 동서대로 129-22, 2층 203-204호 (성정동, 학산리젠다빌2차)"
115,Bodyworks(바디웍스),20160601,,,,,영업/정상,"충청남도 천안시 서북구 성정두정로 56, 2층 (두정동, 스피드메이트)"
116,디자인 휘트니스,20161213,,,,,영업/정상,"충청남도 천안시 동남구 통정5로 58, 401호 (신방동)"
117,팀박피티샵,20171010,,,,,영업/정상,"충청남도 보령시 신평로 9 (동대동, 태양빌딩)"
118,한내헬스클럽,19960924,,,,,영업/정상,충청남도 보령시 대천로 92 (대천동)
119,하루운동,20160525,,,,,영업/정상,"충청남도 천안시 서북구 두정중2길 4, 4층 401호 (두정동, 서현빌딩)"
120,제이앤웰니스(주) 휘트니스,20051117,,,,,영업/정상,충청남도 보령시 중앙로 46 (동대동)
121,제일휘트니스클럽,20060110,,,,,영업/정상,충청남도 보령시 한내로터리길 45 (동대동)
122,포시즌사우나스포츠센타,20130214,,,,,영업/정상,충청남도 보령시 매방아1길 12-4 (동대동)
123,W 짐,20170714,,,,,영업/정상,"충청남도 보령시 터미널길 18-17 (궁촌동, 삼성생명아름다운웨딩홀)"
124,헬스아카데미,20010208,,,,,영업/정상,충청남도 천안시 동남구 대흥로 145 (사직동)
125,점핑하이,20170705,,,,,영업/정상,"충청남도 천안시 서북구 성정중4길 39-3, 2층 203호 (성정동, 크라운주차빌딩)"
126,멋GYM 성환점,20170801,,,,,영업/정상,충청남도 천안시 서북구 성환읍 성환1로 185
127,크로스핏 샤우트,20170810,,,,,영업/정상,"충청남도 천안시 서북구 쌍용16길 41, 505-506호 (쌍용동, 일성다래아파트)"
128,탄 이 짐(TAN-E GYM),20170302,,,,,영업/정상,"충청남도 천안시 서북구 두정로 98, 5층 (두정동, 재호빌딩)"
129,디엠PT,20170331,,,,,영업/정상,"충청남도 천안시 서북구 불당33길 7, 3층 301-302호 (불당동)"
130,제이티 휘트니스,20170425,,,,,영업/정상,"충청남도 천안시 서북구 늘푸른1길 18-11, 4층 401호 (두정동, 영재사관학교)"
131,피트니스 포유,20170605,,,,,영업/정상,"충청남도 천안시 동남구 청수6로 106-3, 4층 (청수동)"
132,비벨르,20170627,,,,,영업/정상,"충청남도 천안시 서북구 불당25로 142, 6층 604-605호 (불당동, 골든프라자)"
133,바디 디자이너,20140327,,,,,영업/정상,"충청남도 천안시 서북구 검은들1길 7, 9층 901호 (불당동)"
134,람보짐,20140416,,,,,영업/정상,"충청남도 천안시 서북구 한들3로 85-50, 1층 (백석동)"
135,47컴퍼니씨에이,20070713,,,,,영업/정상,"충청남도 천안시 서북구 성정공원5로 10-13, 세화프라자 5층 501호~506호 (성정동)"
136,최민종헬스클럽,19960228,,,,,영업/정상,충청남도 천안시 서북구 성환읍 성환3로 6
137,파워스포츠센터,20041209,,,,,영업/정상,충청남도 천안시 동남구 신촌4로 42 (신방동)
138,(주)하이렉스파 스포츠웰빙타운,20051027,,,,,영업/정상,"충청남도 천안시 서북구 불당대로 260, 7층 (쌍용동)"
139,W 휘트니스,20100908,,,,,영업/정상,"충청남도 천안시 동남구 만남로 84 (신부동, 삼정빌딩 501,601호(5,6층))"
140,에이짐휘트니스,20110817,,,,,영업/정상,"충청남도 천안시 서북구 부성6길 23, 3층 302호 (두정동)"
141,꾸쌤 바디체인지업,20120619,,,,,영업/정상,"충청남도 천안시 서북구 노태산로 98, 2층 (두정동)"
142,오바디짐,20121109,,,,,영업/정상,"충청남도 천안시 서북구 오성로 111, 3층 (두정동)"
143,스타 휘트니스,20130513,,,,,영업/정상,"충청남도 천안시 서북구 성거읍 봉주로 135, 2층"
144,라이브헬스,20030321,,,,,영업/정상,"충청남도 천안시 서북구 성정두정로 98 (두정동, 광은빌딩)"
145,제이디 짐,20131126,,,,,영업/정상,"충청남도 천안시 서북구 월봉로 128, 4층 401-403호 (쌍용동)"
146,더블.B 트레이닝센터,20140113,,,,,영업/정상,충청남도 천안시 동남구 청수14로 56 (청당동)
147,깨끗한마을 휘트니스,20140325,,,,,영업/정상,"충청남도 천안시 동남구 대흥로 13, 4층 (구성동)"
148,파워스포츠,20101224,,,,,영업/정상,"충청남도 홍성군 홍성읍 문화로72번길 69, 태경빌딩 2층"
149,리복 크로스핏 홍성,20140429,,,,,영업/정상,"충청남도 홍성군 홍성읍 월산로50번길 74, 2층"
150,임채홍PT전문센터,20140707,,,,,영업/정상,"충청남도 홍성군 홍성읍 월계2길 3, 3층"
151,안기범 스포짐,20150619,,,,,영업/정상,충청남도 홍성군 홍성읍 월계2길 9-8
152,W.O.D GYM(와드짐),20160706,,,,,영업/정상,"충청남도 홍성군 홍성읍 법원로 8, 2층"
153,홍성군장애인스포츠센터,20170426,,,,,영업/정상,충청남도 홍성군 홍성읍 홍덕서로 78
154,폴라짐 천안 쌍용동 PT 헬스장,19980921,,,,,영업/정상,"충청남도 천안시 서북구 미라7길 26 (쌍용동, 쌍봉빌딩)"
155,라이언스짐,19990213,,,,,영업/정상,충청남도 천안시 서북구 월봉로 92 (쌍용동)
156,헬스킹,20170706,,,,,영업/정상,"충청남도 홍성군 홍성읍 충서로 1547, 2층"
157,바디스타 짐,20180306,,,,,영업/정상,"충청남도 홍성군 홍성읍 홍성천길 114, 3층"
158,우성헬스,20150731,,,,,영업/정상,"충청남도 천안시 서북구 직산읍 자은가리1길 68, 상가동 3층 306-307호 (우성아파트)"
159,바디 P.T,20150805,,,,,영업/정상,"충청남도 천안시 서북구 3공단6로 58-8, 3층 309-310호 (차암동, 비즈타워빌딩)"
160,천안시시설관리공단 한들문화센터 체력단련장,20150925,,,,,영업/정상,"충청남도 천안시 서북구 음봉로 861-50, 2층 (백석동, 한들문화센터)"
161,더블엑스 짐,20151112,,,,,영업/정상,충청남도 천안시 동남구 서부대로 270 (신방동)
162,라온짐,20151215,,,,,영업/정상,"충청남도 천안시 동남구 광풍로 1865, 201호 (청당동)"
163,힙메이커짐,20151224,,,,,영업/정상,"충청남도 천안시 서북구 두정로 238, 4층 (두정동)"
164,수퍼바디 짐,20151231,,,,,영업/정상,"충청남도 천안시 서북구 한들2로 8, 6층 603-605호 (백석동, 정석프라자)"
165,엘디W센타,19990913,,,,,영업/정상,"충청남도 천안시 서북구 백석로 136, 10-12호 (백석동)"
166,태조헬스클럽,20000509,,,,,영업/정상,충청남도 천안시 동남구 중앙로 263 (신부동)
167,곰짐 성정1호점,20140930,,,,,영업/정상,"충청남도 천안시 서북구 동서대로 142, 2층 (성정동)"
168,파워 짐,20141006,,,,,영업/정상,"충청남도 천안시 서북구 한들3로 78-3, 201-202호 (백석동)"
169,타이거 짐,20150115,,,,,영업/정상,"충청남도 천안시 서북구 서부대로 728, 3층 301호 (두정동)"
170,커브스 청수클럽,20150319,,,,,영업/정상,"충청남도 천안시 동남구 청수6로 105, 4층 (청수동)"
171,와이짐,20150331,,,,,영업/정상,"충청남도 천안시 서북구 두정로 188, 2층 202호 (두정동)"
172,바디 PT,20150420,,,,,영업/정상,충청남도 천안시 동남구 청수14로 56 (청당동)
173,바디디자이너,20150423,,,,,영업/정상,"충청남도 천안시 동남구 서부대로 281, 4층 (신방동)"
174,BKNI 휘트니스,20150424,,,,,영업/정상,"충청남도 천안시 서북구 쌍용대로 194, 3층 (성정동, 국민은행 성정동지점)"
175,헬스닷컴,20011113,,,,,영업/정상,충청남도 천안시 동남구 먹거리11길 39 (신부동)
176,동천안헬스크럽,20011127,,,,,영업/정상,충청남도 천안시 동남구 목천읍 신계1길 35
177,홍익 휘트니스,20020325,,,,,영업/정상,충청남도 천안시 동남구 천안대로 802 (신부동)
178,그린헬스타운,20020223,,,,,영업/정상,충청남도 천안시 서북구 성정로 61 (성정동)
179,월드짐,20020110,,,,,영업/정상,"충청남도 천안시 동남구 일봉로 8, 학산빌딩 5층 (신방동)"
180,남도헬스타운,20021016,,,,,영업/정상,"충청남도 천안시 동남구 먹거리11길 43 (신부동, 3층)"
181,청수휘트니스,20020807,,,,,영업/정상,"충청남도 천안시 동남구 청수로 103 (청수동, 다솜빌딩 3층)"
182,성거헬스에어로빅,20020110,,,,,영업/정상,충청남도 천안시 서북구 성거읍 천흥4길 1
183,스포데이,20160415,,,,,영업/정상,"충청남도 천안시 서북구 한들3로 8, 4층 401호 (백석동)"
184,FITNESS NO.1(피트니스 넘버원),20160419,,,,,영업/정상,"충청남도 천안시 서북구 부성4길 3, 3층 (두정동, 천안두정빌딩, 일부)"
185,코리아 스포츠센터,20160504,,,,,영업/정상,"충청남도 천안시 동남구 신촌4로 16, 1동 305호 (신방동, 초원아파트 상가)"
186,영헬스클럽,20000119,,,,,영업/정상,충청남도 천안시 서북구 미라3길 22 (쌍용동)
187,프라임헬스클럽,20000502,,,,,영업/정상,충청남도 천안시 동남구 목천읍 충절로 846-1
188,세계로헬스,20011127,,,,,영업/정상,"충청남도 천안시 동남구 충절로 173, 천안빌딩 6층 603~605호 (원성동)"
189,다짐,20160519,,,,,영업/정상,"충청남도 천안시 동남구 충절로 291, 2층 (구성동)"
190,동우헬스클럽,20021211,,,,,영업/정상,충청남도 천안시 동남구 목천읍 신계1길 41
191,JM휘트니스,20020919,,,,,영업/정상,"충청남도 천안시 동남구 목천읍 삼성5길 46, 104호"
192,gym80휘트니스클럽,20031206,,,,,영업/정상,"충청남도 천안시 서북구 서부대로 688 (성정동, 현대프라자)"
193,헬스피아,20070919,,,,,영업/정상,"충청남도 천안시 서북구 월봉7길 77, 지하층 (쌍용동)"
194,더 라이프 휘트니스,20081021,,,,,영업/정상,"충청남도 천안시 서북구 서부대로 763, 2층 (두정동)"
195,순천향대학교 휴트니스,20091012,,,,,영업/정상,"충청남도 천안시 동남구 순천향6길 31 (봉명동, 외 1필지(지층))"
196,고릴라휘트니스,20030620,,,,,영업/정상,"충청남도 천안시 서북구 직산읍 삼은3길 21, 4층"
197,제일헬스,20031011,,,,,영업/정상,충청남도 천안시 동남구 영성로 24-4 (영성동)
198,헬스보이짐,20030219,,,,,영업/정상,"충청남도 천안시 서북구 두정로 159, 2층 (두정동, 나우휘트니스센타)"
199,커브스 쌍용클럽,20091111,,,,,영업/정상,"충청남도 천안시 서북구 쌍용1길 29 (쌍용동, 세아스프라자)"
